id	svc	status	mangled	demangled	file	line	report
DNF-MON-NEAR-0001	mon	NEAR	_ZN10CAppConfig11Parse_TableEPci	CAppConfig::Parse_Table(char*, int)	source/DNFServer/GameServer/Monitor/DNFAppConfig.cpp	65	function_reports/monitor/_ZN10CAppConfig11Parse_TableEPci.md
DNF-MON-DIFF-0001	mon	DIFF	_ZN10CIPCounter11setLoadTermEh	CIPCounter::setLoadTerm(unsigned char)	source/DNFServer/GameServer/Monitor/IPCounter.cpp	67	function_reports/monitor/_ZN10CIPCounter11setLoadTermEh.md
DNF-MON-DIFF-0002	mon	DIFF	_ZN10CIPCounter13setMinIPCountEh	CIPCounter::setMinIPCount(unsigned char)	source/DNFServer/GameServer/Monitor/IPCounter.cpp	82	function_reports/monitor/_ZN10CIPCounter13setMinIPCountEh.md
DNF-MON-NEAR-0002	mon	NEAR	_ZN10CIPCounter9setOptionEhh	CIPCounter::setOption(unsigned char, unsigned char)	source/DNFServer/GameServer/Monitor/IPCounter.cpp	92	function_reports/monitor/_ZN10CIPCounter9setOptionEhh.md
DNF-MON-NEAR-0003	mon	NEAR	_ZN11CCashObject15GetBuddysObjectEPP6CBuddy	CCashObject::GetBuddysObject(CBuddy**)	source/DNFServer/GameServer/Monitor/CashObject.cpp	104	function_reports/monitor/_ZN11CCashObject15GetBuddysObjectEPP6CBuddy.md
DNF-MON-DIFF-0003	mon	DIFF	_ZN11CUdpHandler16InitServerSocketEi	CUdpHandler::InitServerSocket(int)	source/DNFServer/GameServer/Monitor/DNFUdpHandler.cpp	41	function_reports/monitor/_ZN11CUdpHandler16InitServerSocketEi.md
DNF-MON-DIFF-0004	mon	DIFF	_ZN12CAppStopInit4InitEP12CApplicationiPPc	CAppStopInit::Init(CApplication*, int, char**)	source/DNFServer/GameServer/Monitor/DNFAppStopInit.cpp	32	function_reports/monitor/_ZN12CAppStopInit4InitEP12CApplicationiPPc.md
DNF-MON-DIFF-0005	mon	DIFF	_ZN12CApplication15TranslateSignalEv	CApplication::TranslateSignal()	source/DNFServer/GameServer/Monitor/DNFApplication.cpp	951	function_reports/monitor/_ZN12CApplication15TranslateSignalEv.md
DNF-MON-DIFF-0006	mon	DIFF	_ZN12CApplication4LoadEiPPc	CApplication::Load(int, char**)	source/DNFServer/GameServer/Monitor/DNFApplication.cpp	312	function_reports/monitor/_ZN12CApplication4LoadEiPPc.md
DNF-MON-DIFF-0007	mon	DIFF	_ZN12CBuddyHandle11addFromCashEP6CBuddy	CBuddyHandle::addFromCash(CBuddy*)	source/DNFServer/GameServer/Monitor/DNFBuddyHandle.cpp	195	function_reports/monitor/_ZN12CBuddyHandle11addFromCashEP6CBuddy.md
DNF-MON-DIFF-0008	mon	DIFF	_ZN12CBuddyHandle11printBuddysEPc	CBuddyHandle::printBuddys(char*)	source/DNFServer/GameServer/Monitor/DNFBuddyHandle.cpp	248	function_reports/monitor/_ZN12CBuddyHandle11printBuddysEPc.md
DNF-MON-DIFF-0009	mon	DIFF	_ZN12CBuddyHandle5addDBEP14CServerHandlerPc	CBuddyHandle::addDB(CServerHandler*, char*)	source/DNFServer/GameServer/Monitor/DNFBuddyHandle.cpp	47	function_reports/monitor/_ZN12CBuddyHandle5addDBEP14CServerHandlerPc.md
DNF-MON-NEAR-0004	mon	NEAR	_ZN12CUserManager11AddSchoolNoEjh	CUserManager::AddSchoolNo(unsigned int, unsigned char)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	582	function_reports/monitor/_ZN12CUserManager11AddSchoolNoEjh.md
DNF-MON-DIFF-0010	mon	DIFF	_ZN12CUserManager14GetSchoolCountEjPjRh	CUserManager::GetSchoolCount(unsigned int, unsigned int*, unsigned char&)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	341	function_reports/monitor/_ZN12CUserManager14GetSchoolCountEjPjRh.md
DNF-MON-NEAR-0005	mon	NEAR	_ZN12CUserManager15ProcessByMinuteEv	CUserManager::ProcessByMinute()	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	85	function_reports/monitor/_ZN12CUserManager15ProcessByMinuteEv.md
DNF-MON-NEAR-0006	mon	NEAR	_ZN12CUserManager17InsertUser_CharNoEjP5CUser	CUserManager::InsertUser_CharNo(unsigned int, CUser*)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	432	function_reports/monitor/_ZN12CUserManager17InsertUser_CharNoEjP5CUser.md
DNF-MON-NEAR-0007	mon	NEAR	_ZN12CUserManager19InsertUser_CharNameEPcP5CUser	CUserManager::InsertUser_CharName(char*, CUser*)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	455	function_reports/monitor/_ZN12CUserManager19InsertUser_CharNameEPcP5CUser.md
DNF-MON-DIFF-0011	mon	DIFF	_ZN12CUserManager23SendConnectedBuddysListEP5CUser	CUserManager::SendConnectedBuddysList(CUser*)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	292	function_reports/monitor/_ZN12CUserManager23SendConnectedBuddysListEP5CUser.md
DNF-MON-DIFF-0012	mon	DIFF	_ZN12CUserManager27DeleteUsersOnGameServerDownEP11CGameServer	CUserManager::DeleteUsersOnGameServerDown(CGameServer*)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	176	function_reports/monitor/_ZN12CUserManager27DeleteUsersOnGameServerDownEP11CGameServer.md
DNF-MON-DIFF-0013	mon	DIFF	_ZN12CUserManager30DeleteUsersOnTcpGameServerDownEP14CTcpGameServer	CUserManager::DeleteUsersOnTcpGameServerDown(CTcpGameServer*)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	234	function_reports/monitor/_ZN12CUserManager30DeleteUsersOnTcpGameServerDownEP14CTcpGameServer.md
DNF-MON-DIFF-0014	mon	DIFF	_ZN12momiji_event13EndEffectTask10_DoExecuteEv	momiji_event::EndEffectTask::_DoExecute()	source/DNFServer/GameServer/Monitor/Arad_MomijiEvent.cpp	69	function_reports/monitor/_ZN12momiji_event13EndEffectTask10_DoExecuteEv.md
DNF-MON-DIFF-0015	mon	DIFF	_ZN13CAppStartInit4InitEP12CApplicationiPPc	CAppStartInit::Init(CApplication*, int, char**)	source/DNFServer/GameServer/Monitor/DNFAppStartInit.cpp	40	function_reports/monitor/_ZN13CAppStartInit4InitEP12CApplicationiPPc.md
DNF-MON-DIFF-0016	mon	DIFF	_ZN13CMemberExpTbl11Parse_TableEPci	CMemberExpTbl::Parse_Table(char*, int)	source/DNFServer/GameServer/Monitor/DNFMemberConfig.cpp	85	function_reports/monitor/_ZN13CMemberExpTbl11Parse_TableEPci.md
DNF-MON-DIFF-0017	mon	DIFF	_ZN13CMemberExpTbl17GetMemberExpLevelEj	CMemberExpTbl::GetMemberExpLevel(unsigned int)	source/DNFServer/GameServer/Monitor/DNFMemberConfig.cpp	104	function_reports/monitor/_ZN13CMemberExpTbl17GetMemberExpLevelEj.md
DNF-MON-DIFF-0018	mon	DIFF	_ZN13CTcpNetSystem10SendPacketEv	CTcpNetSystem::SendPacket()	source/DNFServer/GameServer/Monitor/TcpNetSystem.cpp	252	function_reports/monitor/_ZN13CTcpNetSystem10SendPacketEv.md
DNF-MON-DIFF-0019	mon	DIFF	_ZN13CTcpNetSystem14OpenTcpServiceERiPKct	CTcpNetSystem::OpenTcpService(int&, char const*, unsigned short)	source/DNFServer/GameServer/Monitor/TcpNetSystem.cpp	187	function_reports/monitor/_ZN13CTcpNetSystem14OpenTcpServiceERiPKct.md
DNF-MON-DIFF-0020	mon	DIFF	_ZN13CTcpNetSystem19CleanTcpSendPacketQEv	CTcpNetSystem::CleanTcpSendPacketQ()	source/DNFServer/GameServer/Monitor/TcpNetSystem.cpp	371	function_reports/monitor/_ZN13CTcpNetSystem19CleanTcpSendPacketQEv.md
DNF-MON-DIFF-0021	mon	DIFF	_ZN13CTcpNetSystem4InitEt	CTcpNetSystem::Init(unsigned short)	source/DNFServer/GameServer/Monitor/TcpNetSystem.cpp	168	function_reports/monitor/_ZN13CTcpNetSystem4InitEt.md
DNF-MON-DIFF-0022	mon	DIFF	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	np_server_xml::CServerXml::StrPunish(int, char const*, np_server_xml::_eStringType)	source/DNFServer/GameServer/Monitor/ServerXml.cpp	164	function_reports/monitor/_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE.md
DNF-MON-DIFF-0023	mon	DIFF	_ZN14CMemberManager10LoadMemberEjR14STMemberDBInfojjP14CServerHandler	CMemberManager::LoadMember(unsigned int, STMemberDBInfo&, unsigned int, unsigned int, CServerHandler*)	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	224	function_reports/monitor/_ZN14CMemberManager10LoadMemberEjR14STMemberDBInfojjP14CServerHandler.md
DNF-MON-DIFF-0024	mon	DIFF	_ZN14CMemberManager12DeleteMemberEjb	CMemberManager::DeleteMember(unsigned int, bool)	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	95	function_reports/monitor/_ZN14CMemberManager12DeleteMemberEjb.md
DNF-MON-DIFF-0025	mon	DIFF	_ZN14CMemberManager12InsertMemberEjP7CMember	CMemberManager::InsertMember(unsigned int, CMember*)	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	346	function_reports/monitor/_ZN14CMemberManager12InsertMemberEjP7CMember.md
DNF-MON-DIFF-0026	mon	DIFF	_ZN14CMemberManager13MemerMemLoginEjP5CUser	CMemberManager::MemerMemLogin(unsigned int, CUser*)	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	522	function_reports/monitor/_ZN14CMemberManager13MemerMemLoginEjP5CUser.md
DNF-MON-DIFF-0027	mon	DIFF	_ZN14CMemberManager14RegisterMemberEP7CMembersP5CUserb	CMemberManager::RegisterMember(CMember*, short, CUser*, bool)	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	423	function_reports/monitor/_ZN14CMemberManager14RegisterMemberEP7CMembersP5CUserb.md
DNF-MON-DIFF-0028	mon	DIFF	_ZN14CMemberManager15MemberMemLogoutEjP5CUserb	CMemberManager::MemberMemLogout(unsigned int, CUser*, bool)	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	124	function_reports/monitor/_ZN14CMemberManager15MemberMemLogoutEjP5CUserb.md
DNF-MON-DIFF-0029	mon	DIFF	_ZN14CMemberManager19SaveMemberOnConnectEP14CServerHandlerP5CUserS3_h	CMemberManager::SaveMemberOnConnect(CServerHandler*, CUser*, CUser*, unsigned char)	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	363	function_reports/monitor/_ZN14CMemberManager19SaveMemberOnConnectEP14CServerHandlerP5CUserS3_h.md
DNF-MON-DIFF-0030	mon	DIFF	_ZN14CMemberManager21IsPossableMemberEnterEP5CUserP7CMemberS1_S3_i	CMemberManager::IsPossableMemberEnter(CUser*, CMember*, CUser*, CMember*, int)	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	178	function_reports/monitor/_ZN14CMemberManager21IsPossableMemberEnterEP5CUserP7CMemberS1_S3_i.md
DNF-MON-DIFF-0031	mon	DIFF	_ZN14CMemberManager21SaveMemberOnUnConnectEP14CServerHandlerjjjh	CMemberManager::SaveMemberOnUnConnect(CServerHandler*, unsigned int, unsigned int, unsigned int, unsigned char)	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	393	function_reports/monitor/_ZN14CMemberManager21SaveMemberOnUnConnectEP14CServerHandlerjjjh.md
DNF-MON-DIFF-0032	mon	DIFF	_ZN14CMemberManager25MemberRegisterFlagProcessEv	CMemberManager::MemberRegisterFlagProcess()	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	62	function_reports/monitor/_ZN14CMemberManager25MemberRegisterFlagProcessEv.md
DNF-MON-DIFF-0033	mon	DIFF	_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi	CPacketCounter<1000, 10240>::AfterProcess(int)	source/DNFServer/GameServer/Monitor/PacketCounter.h	310	function_reports/monitor/_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi.md
DNF-MON-DIFF-0034	mon	DIFF	_ZN14CPacketDecoder10TcpProcessEv	CPacketDecoder::TcpProcess()	source/DNFServer/GameServer/Monitor/DNFPacketDecoder.cpp	201	function_reports/monitor/_ZN14CPacketDecoder10TcpProcessEv.md
DNF-MON-DIFF-0035	mon	DIFF	_ZN14CPacketDecoder10UdpProcessEv	CPacketDecoder::UdpProcess()	source/DNFServer/GameServer/Monitor/DNFPacketDecoder.cpp	241	function_reports/monitor/_ZN14CPacketDecoder10UdpProcessEv.md
DNF-MON-DIFF-0036	mon	DIFF	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	CPacketDecoder::MsgDecode(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketDecoder.cpp	281	function_reports/monitor/_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader.md
DNF-MON-DIFF-0037	mon	DIFF	_ZN14CServerHandler20GetTcpGameServerByChEh	CServerHandler::GetTcpGameServerByCh(unsigned char)	source/DNFServer/GameServer/Monitor/DNFServerHandler.cpp	225	function_reports/monitor/_ZN14CServerHandler20GetTcpGameServerByChEh.md
DNF-MON-DIFF-0038	mon	DIFF	_ZN14CServerHandler7ProcessEv	CServerHandler::Process()	source/DNFServer/GameServer/Monitor/DNFServerHandler.cpp	73	function_reports/monitor/_ZN14CServerHandler7ProcessEv.md
DNF-MON-DIFF-0039	mon	DIFF	_ZN15exchange_server18CCacheCharacterMgr14CollectGarbageEv	exchange_server::CCacheCharacterMgr::CollectGarbage()	source/DNFServer/GameServer/Monitor/DNFManagerServer.cpp	333	function_reports/monitor/_ZN15exchange_server18CCacheCharacterMgr14CollectGarbageEv.md
DNF-MON-DIFF-0040	mon	DIFF	_ZN15init_accusation22CInitAccusationListMgr11setScheduleERKb	init_accusation::CInitAccusationListMgr::setSchedule(bool const&)	source/DNFServer/GameServer/Monitor/DNFApplication.cpp	186	function_reports/monitor/_ZN15init_accusation22CInitAccusationListMgr11setScheduleERKb.md
DNF-MON-DIFF-0041	mon	DIFF	_ZN16CDNFProhibitUser20IsTimeOutConnectableEv	CDNFProhibitUser::IsTimeOutConnectable()	source/DNFServer/GameServer/Monitor/DNFProhibitUserC5.cpp	8	function_reports/monitor/_ZN16CDNFProhibitUser20IsTimeOutConnectableEv.md
DNF-MON-DIFF-0042	mon	DIFF	_ZN16CDNFProhibitUser22SetUserConnectableTimeEjscb	CDNFProhibitUser::SetUserConnectableTime(unsigned int, short, char, bool)	source/DNFServer/GameServer/Monitor/DNFProhibitUser.cpp	63	function_reports/monitor/_ZN16CDNFProhibitUser22SetUserConnectableTimeEjscb.md
DNF-MON-DIFF-0043	mon	DIFF	_ZN16CServerInterface19IsHeartBeatTimeOverEv	CServerInterface::IsHeartBeatTimeOver()	source/DNFServer/GameServer/Monitor/DNFServerInterface.cpp	92	function_reports/monitor/_ZN16CServerInterface19IsHeartBeatTimeOverEv.md
DNF-MON-DIFF-0044	mon	DIFF	_ZN16CTcpAcceptThread8dispatchEPv	CTcpAcceptThread::dispatch(void*)	source/DNFServer/GameServer/Monitor/DNFTcpAcceptThread.cpp	56	function_reports/monitor/_ZN16CTcpAcceptThread8dispatchEPv.md
DNF-MON-DIFF-0045	mon	DIFF	_ZN16village_attacked23CVillageAttackedManager10OnScheduleEv	village_attacked::CVillageAttackedManager::OnSchedule()	source/DNFServer/GameServer/Monitor/VillageAttackedManager.cpp	194	function_reports/monitor/_ZN16village_attacked23CVillageAttackedManager10OnScheduleEv.md
DNF-MON-DIFF-0046	mon	DIFF	_ZN16village_attacked23CVillageAttackedManager11InsertTimerEii	village_attacked::CVillageAttackedManager::InsertTimer(int, int)	source/DNFServer/GameServer/Monitor/VillageAttackedManager.cpp	177	function_reports/monitor/_ZN16village_attacked23CVillageAttackedManager11InsertTimerEii.md
DNF-MON-DIFF-0047	mon	DIFF	_ZN16village_attacked23CVillageAttackedManager14SendCharacRankEv	village_attacked::CVillageAttackedManager::SendCharacRank()	source/DNFServer/GameServer/Monitor/VillageAttackedManager.cpp	565	function_reports/monitor/_ZN16village_attacked23CVillageAttackedManager14SendCharacRankEv.md
DNF-MON-DIFF-0048	mon	DIFF	_ZN16village_attacked23CVillageAttackedManager18UpdateHuntingPointEPP5CUserbPiPj	village_attacked::CVillageAttackedManager::UpdateHuntingPoint(CUser**, bool, int*, unsigned int*)	source/DNFServer/GameServer/Monitor/VillageAttackedManager.cpp	507	function_reports/monitor/_ZN16village_attacked23CVillageAttackedManager18UpdateHuntingPointEPP5CUserbPiPj.md
DNF-MON-DIFF-0049	mon	DIFF	_ZN16village_attacked23CVillageAttackedManager20OnEndVillageAttackedEv	village_attacked::CVillageAttackedManager::OnEndVillageAttacked()	source/DNFServer/GameServer/Monitor/VillageAttackedManager.cpp	330	function_reports/monitor/_ZN16village_attacked23CVillageAttackedManager20OnEndVillageAttackedEv.md
DNF-MON-DIFF-0050	mon	DIFF	_ZN16village_attacked23CVillageAttackedManager25SendRequestRevengeDungeonEPc	village_attacked::CVillageAttackedManager::SendRequestRevengeDungeon(char*)	source/DNFServer/GameServer/Monitor/VillageAttackedManager.cpp	707	function_reports/monitor/_ZN16village_attacked23CVillageAttackedManager25SendRequestRevengeDungeonEPc.md
