id	status	mangled	demangled	file	line	report
DNF-GLD-DIFF-0123	DIFF	_ZN6CGuild22ReplyGuildMembersToWebEP24STGuildMemberWebConnInfo	CGuild::ReplyGuildMembersToWeb(STGuildMemberWebConnInfo*)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1346	function_reports/guild/_ZN6CGuild22ReplyGuildMembersToWebEP24STGuildMemberWebConnInfo.md
DNF-GLD-DIFF-0124	DIFF	_ZN6CGuild22SendGuildInfoToMembersEb	CGuild::SendGuildInfoToMembers(bool)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	867	function_reports/guild/_ZN6CGuild22SendGuildInfoToMembersEb.md
DNF-GLD-DIFF-0125	DIFF	_ZN6CGuild23LoadGuildOneMemberProxyEP5CUser	CGuild::LoadGuildOneMemberProxy(CUser*)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1667	function_reports/guild/_ZN6CGuild23LoadGuildOneMemberProxyEP5CUser.md
DNF-GLD-DIFF-0126	DIFF	_ZN6CGuild23LoadGuildOneMemberProxyER18STGuildMemberProxy	CGuild::LoadGuildOneMemberProxy(STGuildMemberProxy&)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1701	function_reports/guild/_ZN6CGuild23LoadGuildOneMemberProxyER18STGuildMemberProxy.md
DNF-GLD-DIFF-0127	DIFF	_ZN6CGuild23SendGuildInfoToManagersEv	CGuild::SendGuildInfoToManagers()	source/DNFServer/GameServer/Guild/DNFGuild.cpp	938	function_reports/guild/_ZN6CGuild23SendGuildInfoToManagersEv.md
DNF-GLD-DIFF-0128	DIFF	_ZN6CGuild24LoadGuildAllMembersProxyEP18STGuildMemberProxyhh	CGuild::LoadGuildAllMembersProxy(STGuildMemberProxy*, unsigned char, unsigned char)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1647	function_reports/guild/_ZN6CGuild24LoadGuildAllMembersProxyEP18STGuildMemberProxyhh.md
DNF-GLD-DIFF-0129	DIFF	_ZN6CGuild24NoticeEnterToGuildMemberEPc	CGuild::NoticeEnterToGuildMember(char*)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1136	function_reports/guild/_ZN6CGuild24NoticeEnterToGuildMemberEPc.md
DNF-GLD-DIFF-0130	DIFF	_ZN6CGuild25ChangeGuildMemberCharNameEjPc	CGuild::ChangeGuildMemberCharName(unsigned int, char*)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	2056	function_reports/guild/_ZN6CGuild25ChangeGuildMemberCharNameEjPc.md
DNF-GLD-DIFF-0131	DIFF	_ZN6CGuild25NoticeSecedeToGuildMemberEPc	CGuild::NoticeSecedeToGuildMember(char*)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1161	function_reports/guild/_ZN6CGuild25NoticeSecedeToGuildMemberEPc.md
DNF-GLD-DIFF-0132	DIFF	_ZN6CGuild25NotifyAllTodayGuildMemberEv	CGuild::NotifyAllTodayGuildMember()	source/DNFServer/GameServer/Guild/DNFGuild.cpp	2414	function_reports/guild/_ZN6CGuild25NotifyAllTodayGuildMemberEv.md
DNF-GLD-DIFF-0133	DIFF	_ZN6CGuild26NoticeGuildMemberLogin_OutEP5CUserc	CGuild::NoticeGuildMemberLogin_Out(CUser*, char)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1313	function_reports/guild/_ZN6CGuild26NoticeGuildMemberLogin_OutEP5CUserc.md
DNF-GLD-DIFF-0134	DIFF	_ZN6CGuild26NotifyAllAchieveAttendanceEjj	CGuild::NotifyAllAchieveAttendance(unsigned int, unsigned int)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	2473	function_reports/guild/_ZN6CGuild26NotifyAllAchieveAttendanceEjj.md
DNF-GLD-DIFF-0135	DIFF	_ZN6CGuild26NotifyMessageToGuildMemberEv	CGuild::NotifyMessageToGuildMember()	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1939	function_reports/guild/_ZN6CGuild26NotifyMessageToGuildMemberEv.md
DNF-GLD-DIFF-0136	DIFF	_ZN6CGuild26SendGuildAgitInfoToMembersEv	CGuild::SendGuildAgitInfoToMembers()	source/DNFServer/GameServer/Guild/DNFGuild.cpp	2204	function_reports/guild/_ZN6CGuild26SendGuildAgitInfoToMembersEv.md
