id	status	mangled	demangled	file	line	report
DNF-DBM-DIFF-0027	DIFF	_ZN10CDBManager21OnLoadPeriodicMessageEP28Packet_Load_Periodic_MessageP38Packet_Result_Loading_Periodic_Message	CDBManager::OnLoadPeriodicMessage(Packet_Load_Periodic_Message*, Packet_Result_Loading_Periodic_Message*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1047	function_reports/dbmw/_ZN10CDBManager21OnLoadPeriodicMessageEP28Packet_Load_Periodic_MessageP38Packet_Result_Loading_Periodic_Message.md
DNF-DBM-DIFF-0028	DIFF	_ZN10CDBManager21OnSecretShopStatisticEP28Packet_Secret_Shop_Statistic	CDBManager::OnSecretShopStatistic(Packet_Secret_Shop_Statistic*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	6812	function_reports/dbmw/_ZN10CDBManager21OnSecretShopStatisticEP28Packet_Secret_Shop_Statistic.md
DNF-DBM-DIFF-0029	DIFF	_ZN10CDBManager21QueryGuildMemberProxyEjjR18STGuildMemberProxy	CDBManager::QueryGuildMemberProxy(unsigned int, unsigned int, STGuildMemberProxy&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	2744	function_reports/dbmw/_ZN10CDBManager21QueryGuildMemberProxyEjjR18STGuildMemberProxy.md
DNF-DBM-DIFF-0030	DIFF	_ZN10CDBManager21QueryTodayGuildMemberEjR31Packet_Reply_Today_Guild_Member	CDBManager::QueryTodayGuildMember(unsigned int, Packet_Reply_Today_Guild_Member&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	5226	function_reports/dbmw/_ZN10CDBManager21QueryTodayGuildMemberEjR31Packet_Reply_Today_Guild_Member.md
DNF-DBM-DIFF-0031	DIFF	_ZN10CDBManager21SaveGuildWarPointListEiPjS0_	CDBManager::SaveGuildWarPointList(int, unsigned int*, unsigned int*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	866	function_reports/dbmw/_ZN10CDBManager21SaveGuildWarPointListEiPjS0_.md
DNF-DBM-DIFF-0032	DIFF	_ZN10CDBManager21insertServerGameEventEP31Packet_StartGameEventFromServer	CDBManager::insertServerGameEvent(Packet_StartGameEventFromServer*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1283	function_reports/dbmw/_ZN10CDBManager21insertServerGameEventEP31Packet_StartGameEventFromServer.md
DNF-DBM-NEAR-0007	NEAR	_ZN10CDBManager22OnSavePowerWarUserRankEP34Packet_DB_Save_Power_War_User_Rank	CDBManager::OnSavePowerWarUserRank(Packet_DB_Save_Power_War_User_Rank*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1156	function_reports/dbmw/_ZN10CDBManager22OnSavePowerWarUserRankEP34Packet_DB_Save_Power_War_User_Rank.md
DNF-DBM-DIFF-0033	DIFF	_ZN10CDBManager22OnStatisticLoginLogoutEP34Packet_DBMW_Statistic_Login_Logout	CDBManager::OnStatisticLoginLogout(Packet_DBMW_Statistic_Login_Logout*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	4916	function_reports/dbmw/_ZN10CDBManager22OnStatisticLoginLogoutEP34Packet_DBMW_Statistic_Login_Logout.md
DNF-DBM-DIFF-0034	DIFF	_ZN10CDBManager22OnWriteGuildMemberMemoEP33Packet_DB_Write_Guild_Member_Memo	CDBManager::OnWriteGuildMemberMemo(Packet_DB_Write_Guild_Member_Memo*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	2055	function_reports/dbmw/_ZN10CDBManager22OnWriteGuildMemberMemoEP33Packet_DB_Write_Guild_Member_Memo.md
DNF-DBM-DIFF-0035	DIFF	_ZN10CDBManager23OnLoadGuildCargoHistoryEjR37Packet_Guild_Load_Guild_Cargo_History	CDBManager::OnLoadGuildCargoHistory(unsigned int, Packet_Guild_Load_Guild_Cargo_History&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	5356	function_reports/dbmw/_ZN10CDBManager23OnLoadGuildCargoHistoryEjR37Packet_Guild_Load_Guild_Cargo_History.md
