status	name	orig_addr	orig_size	new_addr	new_size	md_file
MISSING	ASN1_TIME_to_generalizedtime	0x88679e0	0x12a			
MISSING	ASN1_TYPE_cmp	0x8867bb0	0x53			
MISSING	ASN1_TYPE_free	0x8827850	0x1b			
MISSING	ASN1_TYPE_get	0x8867b90	0x19			
MISSING	ASN1_TYPE_get_int_octetstring	0x882aa60	0x1ee			
MISSING	ASN1_TYPE_get_octetstring	0x882a9e0	0x7c			
MISSING	ASN1_TYPE_new	0x8827ab0	0x13			
MISSING	ASN1_TYPE_set	0x8867c10	0x6b			
MISSING	ASN1_TYPE_set1	0x8867c80	0x117			
MISSING	ASN1_TYPE_set_int_octetstring	0x882ac50	0x17c			
MISSING	ASN1_TYPE_set_octetstring	0x882add0	0x62			
MISSING	ASN1_UNIVERSALSTRING_free	0x8827890	0x1b			
MISSING	ASN1_UNIVERSALSTRING_new	0x8827af0	0x13			
MISSING	ASN1_UNIVERSALSTRING_to_string	0x8884600	0x178			
MISSING	ASN1_UTCTIME_adj	0x8867040	0x1aa			
MISSING	ASN1_UTCTIME_check	0x8866c50	0x289			
MISSING	ASN1_UTCTIME_cmp_time_t	0x8866ee0	0x156			
MISSING	ASN1_UTCTIME_free	0x88278f0	0x1b			
MISSING	ASN1_UTCTIME_new	0x8827b50	0x13			
MISSING	ASN1_UTCTIME_print	0x886aa20	0x23f			
MISSING	ASN1_UTCTIME_set	0x88671f0	0x2b			
MISSING	ASN1_UTCTIME_set_string	0x8867220	0x70			
MISSING	ASN1_UTF8STRING_free	0x8827990	0x1b			
MISSING	ASN1_UTF8STRING_new	0x8827bf0	0x13			
MISSING	ASN1_VISIBLESTRING_free	0x88278b0	0x1b			
MISSING	ASN1_VISIBLESTRING_new	0x8827b10	0x13			
MISSING	ASN1_bn_print	0x886bd70	0x20f			
MISSING	ASN1_check_infinite_end	0x8829f00	0x34			
MISSING	ASN1_const_check_infinite_end	0x8829f40	0x34			
MISSING	ASN1_d2i_bio	0x8868160	0x5c			
MISSING	ASN1_d2i_fp	0x88682a0	0xc7			
MISSING	ASN1_digest	0x8869290	0xe0			
MISSING	ASN1_dup	0x881f7a0	0xc3			
MISSING	ASN1_generate_nconf	0x886d820	0x5c			
MISSING	ASN1_generate_v3	0x886ca80	0xb27			
MISSING	ASN1_get_object	0x882a3c0	0x1ec			
MISSING	ASN1_i2d_bio	0x8868420	0xc7			
MISSING	ASN1_i2d_fp	0x88684f0	0x98			
MISSING	ASN1_item_d2i	0x8826be0	0x6e			
MISSING	ASN1_item_d2i_bio	0x88680f0	0x65			
MISSING	ASN1_item_d2i_fp	0x88681c0	0xd4			
MISSING	ASN1_item_digest	0x8869210	0x7c			
MISSING	ASN1_item_dup	0x881f700	0x9b			
MISSING	ASN1_item_ex_d2i	0x88260d0	0xb09			
MISSING	ASN1_item_ex_free	0x8823b30	0xf			
MISSING	ASN1_item_ex_i2d	0x8823f30	0x455			
MISSING	ASN1_item_ex_new	0x8823750	0xf			
MISSING	ASN1_item_free	0x8823b40	0x16			
MISSING	ASN1_item_i2d	0x8824980	0xf4			
MISSING	ASN1_item_i2d_bio	0x8868370	0xb0			
MISSING	ASN1_item_i2d_fp	0x8868590	0x121			
MISSING	ASN1_item_ndef_i2d	0x8824a80	0xf4			
MISSING	ASN1_item_new	0x8823760	0x2d			
MISSING	ASN1_item_pack	0x886ea80	0x107			
MISSING	ASN1_item_print	0x8828870	0x57			
MISSING	ASN1_item_sign	0x8868e10	0x85			
MISSING	ASN1_item_sign_ctx	0x8868a40	0x3cc			
MISSING	ASN1_item_unpack	0x886e990	0x73			
MISSING	ASN1_item_verify	0x8869370	0x2ee			
MISSING	ASN1_mbstring_copy	0x8885c20	0x43			
MISSING	ASN1_mbstring_ncopy	0x8885420	0x7fb			
MISSING	ASN1_object_size	0x882a0d0	0x4a			
MISSING	ASN1_pack_string	0x886eb90	0x12a			
MISSING	ASN1_parse	0x8829ec0	0x37			
MISSING	ASN1_parse_dump	0x8829e80	0x37			
MISSING	ASN1_primitive_free	0x8823790	0xd7			
MISSING	ASN1_primitive_new	0x8823070	0xf3			
MISSING	ASN1_put_eoc	0x8829f80	0x18			
MISSING	ASN1_put_object	0x8829fa0	0x129			
MISSING	ASN1_seq_pack	0x886ecc0	0x135			
MISSING	ASN1_seq_unpack	0x886ee00	0x88			
MISSING	ASN1_sign	0x8868ea0	0x36c			
