type	size	addr	mangled	demangled	obj
T	0xba	0x8259bd8	_ZN8WongWork13CDungeonClear17addClearedDungeonEsa	WongWork::CDungeonClear::addClearedDungeon(short, signed char)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x8256cc2	_ZN8WongWork13CHackAnalyzer16addServerHackCntEP5CUserNS_14ENUM_HACK_TYPEEjjj	WongWork::CHackAnalyzer::addServerHackCnt(CUser*, WongWork::ENUM_HACK_TYPE, unsigned int, unsigned int, unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x825b49a	_ZN8WongWork14CHackAnalyzer16addServerHackCntEP5CUserjiij	_ZN8WongWork14CHackAnalyzer16addServerHackCntEP5CUserjiij	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x1a	0x8256cfa	_ZN8WongWork14CMailBoxHelper22ReqDBSendNewSystemMailEPKcRK10Inven_ItemjjS2_ijcbb	WongWork::CMailBoxHelper::ReqDBSendNewSystemMail(char const*, Inven_Item const&, unsigned int, unsigned int, char const*, int, unsigned int, char, bool, bool)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x813f222	_ZN8WongWork20CAvatarItemMgr_ResetEP5CUser	WongWork::CAvatarItemMgr_Reset(CUser*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUser.cpp.o
T	0x5	0x813f227	_ZN8WongWork24CDeathTowerRanking_unregEj	WongWork::CDeathTowerRanking_unreg(unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUser.cpp.o
T	0xa	0x81ae681	_ZN8WongWork35sub_CDeathTowerRanking_getRankTableEj	WongWork::sub_CDeathTowerRanking_getRankTable(unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDeathTower.cpp.o
T	0xd6	0x81ae709	_ZN8WongWork37sub_CDeathTowerRanking_getVirtualRankEPvjjj	WongWork::sub_CDeathTowerRanking_getVirtualRank(void*, unsigned int, unsigned int, unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDeathTower.cpp.o
T	0x5	0x81ae68b	_ZN8WongWork41sub_CDeathTowerRanking_checkRenewMyRecordEPvjjjj	WongWork::sub_CDeathTowerRanking_checkRenewMyRecord(void*, unsigned int, unsigned int, unsigned int, unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDeathTower.cpp.o
T	0x79	0x81ae690	_ZN8WongWork42sub_CDeathTowerRanking_checkRenewTopRecordEPvjjj	WongWork::sub_CDeathTowerRanking_checkRenewTopRecord(void*, unsigned int, unsigned int, unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDeathTower.cpp.o
T	0xa	0x81ae677	_ZN8WongWork46sub_CDeathTowerRanking_makeDungeonIdx2TowerIdxEj	WongWork::sub_CDeathTowerRanking_makeDungeonIdx2TowerIdx(unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDeathTower.cpp.o
T	0xa	0x8158788	_ZN8WongWork8CMailBox16getMailLoadCountEv	WongWork::CMailBox::getMailLoadCount()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
T	0x5	0x825b49f	_ZN8XNuclear5CHades20Send_ReturnToVillageEv	_ZN8XNuclear5CHades20Send_ReturnToVillageEv	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
