category	type	size	addr	mangled	demangled	obj
STRONG_T	T	0x13d	0x8132ce8	_ZNK9SkillSlot24checkskillSlotEmptyCountERi	SkillSlot::checkskillSlotEmptyCount(int&) const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/SkillSlot.cpp.o
STRONG_T	T	0xa	0x825ac17	loadRDARScriptFile	loadRDARScriptFile	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
WEAK_TEMPLATE	W	0x10a	0x8163132	_ZN10StaticPoolI10BlueMarbleLi300EE3GetEi	StaticPool<BlueMarble, 300>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0xa	0x81634ad	_ZN10StaticPoolI10BlueMarbleLi300EE4SizeEv	StaticPool<BlueMarble, 300>::Size()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x16	0x81634b8	_ZN10StaticPoolI10BlueMarbleLi300EE6RemainEv	StaticPool<BlueMarble, 300>::Remain()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x119	0x8163806	_ZN10StaticPoolI20CACHE_CHARACTER_TYPELi1000EE3GetEi	StaticPool<CACHE_CHARACTER_TYPE, 1000>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0xa	0x8163bb1	_ZN10StaticPoolI20CACHE_CHARACTER_TYPELi1000EE4SizeEv	StaticPool<CACHE_CHARACTER_TYPE, 1000>::Size()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x12c	0x8163a7a	_ZN10StaticPoolI20CACHE_CHARACTER_TYPELi1000EE8GetIndexEPS0_	StaticPool<CACHE_CHARACTER_TYPE, 1000>::GetIndex(CACHE_CHARACTER_TYPE*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x115	0x815fe66	_ZN10StaticPoolI6CPartyLi600EE3GetEi	StaticPool<CParty, 600>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x11a	0x8160d4e	_ZN10StaticPoolI7WarRoomLi40EE3GetEi	StaticPool<WarRoom, 40>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x115	0x81605d0	_ZN10StaticPoolI8PvP_RoomLi600EE3GetEi	StaticPool<PvP_Room, 600>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x112	0x8163e64	_ZN10StaticPoolI8_IO_FILELi50EE3GetEi	StaticPool<_IO_FILE, 50>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0xa	0x8164205	_ZN10StaticPoolI8_IO_FILELi50EE4SizeEv	StaticPool<_IO_FILE, 50>::Size()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x16	0x8164210	_ZN10StaticPoolI8_IO_FILELi50EE6RemainEv	StaticPool<_IO_FILE, 50>::Remain()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x129	0x81640d0	_ZN10StaticPoolI8_IO_FILELi50EE8GetIndexEPS0_	StaticPool<_IO_FILE, 50>::GetIndex(_IO_FILE*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x109	0x8162a02	_ZN10StaticPoolIN10QuickParty11CQuickPartyELi300EE3GetEi	StaticPool<QuickParty::CQuickParty, 300>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x119	0x816455e	_ZN10StaticPoolIN10expert_job10CEnchanterELi300EE3GetEi	StaticPool<expert_job::CEnchanter, 300>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0xa	0x8164909	_ZN10StaticPoolIN10expert_job10CEnchanterELi300EE4SizeEv	StaticPool<expert_job::CEnchanter, 300>::Size()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x16	0x8164914	_ZN10StaticPoolIN10expert_job10CEnchanterELi300EE6RemainEv	StaticPool<expert_job::CEnchanter, 300>::Remain()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x12c	0x81647d2	_ZN10StaticPoolIN10expert_job10CEnchanterELi300EE8GetIndexEPS1_	StaticPool<expert_job::CEnchanter, 300>::GetIndex(expert_job::CEnchanter*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x119	0x8164c62	_ZN10StaticPoolIN10expert_job11CDisjointerELi600EE3GetEi	StaticPool<expert_job::CDisjointer, 600>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0xa	0x816500d	_ZN10StaticPoolIN10expert_job11CDisjointerELi600EE4SizeEv	StaticPool<expert_job::CDisjointer, 600>::Size()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x16	0x8165018	_ZN10StaticPoolIN10expert_job11CDisjointerELi600EE6RemainEv	StaticPool<expert_job::CDisjointer, 600>::Remain()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x12c	0x8164ed6	_ZN10StaticPoolIN10expert_job11CDisjointerELi600EE8GetIndexEPS1_	StaticPool<expert_job::CDisjointer, 600>::GetIndex(expert_job::CDisjointer*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x116	0x8165362	_ZN10StaticPoolIN11pvp_assault13CAssaultPlaceELi128EE3GetEi	StaticPool<pvp_assault::CAssaultPlace, 128>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0xa	0x8165707	_ZN10StaticPoolIN11pvp_assault13CAssaultPlaceELi128EE4SizeEv	StaticPool<pvp_assault::CAssaultPlace, 128>::Size()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x16	0x8165712	_ZN10StaticPoolIN11pvp_assault13CAssaultPlaceELi128EE6RemainEv	StaticPool<pvp_assault::CAssaultPlace, 128>::Remain()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x129	0x81655d2	_ZN10StaticPoolIN11pvp_assault13CAssaultPlaceELi128EE8GetIndexEPS1_	StaticPool<pvp_assault::CAssaultPlace, 128>::GetIndex(pvp_assault::CAssaultPlace*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x115	0x816231c	_ZN10StaticPoolIN12advancealtar12StageControlELi600EE3GetEi	StaticPool<advancealtar::StageControl, 600>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0xa	0x81626c3	_ZN10StaticPoolIN12advancealtar12StageControlELi600EE4SizeEv	StaticPool<advancealtar::StageControl, 600>::Size()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x16	0x81626ce	_ZN10StaticPoolIN12advancealtar12StageControlELi600EE6RemainEv	StaticPool<advancealtar::StageControl, 600>::Remain()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x119	0x8165a60	_ZN10StaticPoolIN13private_store13CPrivateStoreELi300EE3GetEi	StaticPool<private_store::CPrivateStore, 300>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0xa	0x8165e0b	_ZN10StaticPoolIN13private_store13CPrivateStoreELi300EE4SizeEv	StaticPool<private_store::CPrivateStore, 300>::Size()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
