demangled	mangled	status	orig_size	tu
CNetworkThread::dispatch(void*)	_ZN14CNetworkThread8dispatchEPv	DIFF	1750	mixed
CPeer::parsing(int)	_ZN5CPeer7parsingEi	DIFF	1161	mixed
CTcpNetworkThread::dispatch(void*)	_ZN17CTcpNetworkThread8dispatchEPv	DIFF	1111	mixed
CTcpAcceptThread::dispatch(void*)	_ZN16CTcpAcceptThread8dispatchEPv	DIFF	1029	mixed
CUdpHandler::SendToClient(char*, int, unsigned short, char const*, unsigned int) const	_ZNK11CUdpHandler12SendToClientEPcitPKcj	DIFF	777	mixed
CTcpNetSystem::SendPacket()	_ZN13CTcpNetSystem10SendPacketEv	DIFF	753	mixed
CUdpHandler::SendToServer(char*, int, unsigned short, char const*) const	_ZNK11CUdpHandler12SendToServerEPcitPKc	DIFF	635	mixed
CUdpHandler::RecvFromClient(char*, int*, unsigned int*, unsigned short*) const	_ZNK11CUdpHandler14RecvFromClientEPcPiPjPt	DIFF	627	mixed
CUdpHandler::RecvFromServer(char*, int*, unsigned int*, unsigned short*) const	_ZNK11CUdpHandler14RecvFromServerEPcPiPjPt	DIFF	605	mixed
CPeer::send_packet()	_ZN5CPeer11send_packetEv	DIFF	589	mixed
CPeer::send_packet(char*, int)	_ZN5CPeer11send_packetEPci	NEAR	539	mixed
CUdpHandler::InitServerSocket(int)	_ZN11CUdpHandler16InitServerSocketEi	DIFF	440	mixed
CTcpNetSystem::OpenTcpService(int&, char const*, unsigned short)	_ZN13CTcpNetSystem14OpenTcpServiceERiPKct	DIFF	433	mixed
CTcpNetSystem::SetEpollAcceptedPeers()	_ZN13CTcpNetSystem21SetEpollAcceptedPeersEv	DIFF	412	mixed
CTcpNetSystem::Init(unsigned short)	_ZN13CTcpNetSystem4InitEt	DIFF	318	mixed
CTcpNetSystem::SetEpollConnectedPeer(CPeer*)	_ZN13CTcpNetSystem21SetEpollConnectedPeerEP5CPeer	DIFF	310	mixed
CTcpNetSystem::CleanTcpSendPacketQ()	_ZN13CTcpNetSystem19CleanTcpSendPacketQEv	DIFF	284	mixed
CTcpNetSystem::PushTcpSendPacketQ(char*)	_ZN13CTcpNetSystem18PushTcpSendPacketQEPc	DIFF	233	mixed
CUdpHandler::InitClientSocket()	_ZN11CUdpHandler16InitClientSocketEv	DIFF	162	mixed
CNetworkThread::attach(CApplication*)	_ZN14CNetworkThread6attachEP12CApplication	DIFF	82	mixed
