class	funcs	field_access	strings
Packet_Request_Power_War_Start_Info	1	2	0
Packet_Guild_Reply_Guild_Invite_From_Invited	1	2	0
Packet_Hades_Udp_HeartBeat	1	2	0
Packet_Monitor_Notice_Charac_Live_On_Ten_Min	1	2	0
Packet_Monitor_Notify_New_Mail	1	2	0
Packet_Fatigue_Battery_Money_Statistic	1	2	0
Packet_Monitor_Notice_Guild_Dismiss	1	2	1
Packet_Hades_UserStatus	1	2	0
Packet_Monitor_UDP_Logout_Complete	1	2	0
Packet_PvPResult	1	2	2
Packet_Secret_Shop_Statistic	1	2	0
Packet_Circulation_Statistic	1	2	0
Packet_Notice_Guild_War_Point_Change	1	2	0
Packet_Event_UpgradeJar_Output_Statistic_GTS	1	2	0
Packet_Randombox_statistic	1	2	0
StatisticsGmCmdPacket	1	2	30
Packet_Register_To_BlackList	1	1	1
Packet_Delete_To_BlackList	1	1	1
Packet_Monitor_Notice_Message	1	1	30
Packet_Forbid_Chat_By_Monitor	1	1	30
Packet_Monitor_Request_Charac_Info	1	1	0
Packet_Notice_Guild_War_End	1	1	0
Packet_Notice_Guild_War_Start	1	1	0
Packet_Guild_Exp_Limit	1	1	0
Packet_GM_PowerWar_Start	1	1	0
Packet_GM_PowerWar_End	1	1	0
Packet_Request_Guild_Create	1	1	0
Packet_File_Statistic	1	1	0
Packet_Hades_Logout	1	1	0
Packet_Value_Statistic	1	1	0
Packet_Register_GM_MID	1	1	0
Packet_VillageMonsterFightResult	1	1	0
Packet_Emblem_Create_Statistic	3	0	0
Packet_Frame_Lag_Statistic_Add	1	0	21
Packet_Overflow_Statistic_Add	1	0	2
Packet_TOD_DoRandomSelect	1	0	2
Packet_Monitor_Max_Level_BroadCast	2	0	8
Packet_MiniCraneSeed	1	0	0
