name	demangled	orig_type	orig_size	new_size	class	overlap	origin	in_orig
_GLOBAL__I__Z11timeGetTimev	global constructors keyed to timeGetTime()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__Z22CFileLogWriterInstancev	global constructors keyed to CFileLogWriterInstance()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__Z7commandPKcS0_	global constructors keyed to command(char const*, char const*)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__Z8Char2HexhPc	global constructors keyed to Char2Hex(unsigned char, char*)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN10ArchiveLogC2EPKcz	global constructors keyed to ArchiveLog::ArchiveLog(char const*, ...)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN12CUserManager10enter_userEjP15CNetworkSessionR14STGameUserInfoiP16STPvPBuddyDBInfo	global constructors keyed to CUserManager::enter_user(unsigned int, CNetworkSession*, STGameUserInfo&, int, STPvPBuddyDBInfo*)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN13CBuddyManager9add_buddyER16STPvPBuddyDBInfo	global constructors keyed to CBuddyManager::add_buddy(STPvPBuddyDBInfo&)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN13CPacketParserC2Ev	global constructors keyed to CPacketParser::CPacketParser()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN15CProcessManagerC2Ev	global constructors keyed to CProcessManager::CProcessManager()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN15CSessionManagerC2Ev	global constructors keyed to CSessionManager::CSessionManager()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN15global_function5sleepEi	global constructors keyed to global_function::sleep(int)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN15global_instance12current_timeE	global constructors keyed to global_instance::current_time	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN17CConfigFileReaderC2Ev	global constructors keyed to CConfigFileReader::CConfigFileReader()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN17CPacketDispatcherC2Ev	global constructors keyed to CPacketDispatcher::CPacketDispatcher()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN5CUser12check_myselfEv	global constructors keyed to CUser::check_myself()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN9CCoreDumpC2Ev	global constructors keyed to CCoreDump::CCoreDump()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZNSt10ctype_base5spaceE	global constructors keyed to std::ctype_base::space	t	5	5	IDENTICAL	1.0000	libstdcxx/system	1
_GLOBAL__I__ZNSt7codecvtIcc11__mbstate_tE2idE	global constructors keyed to std::codecvt<char, char, __mbstate_t>::id	t	5	5	IDENTICAL	1.0000	libstdcxx/system	1
_GLOBAL__I__ZSt15system_categoryv	global constructors keyed to std::system_category()	t	84	85	DIFF	0.9333	libstdcxx/system	1
_GLOBAL__I_eh_alloc.cc	global constructors keyed to eh_alloc.cc	t	134	142	DIFF	0.6486	libstdcxx/system	1
_GLOBAL__I_g_network_session_pool	global constructors keyed to g_network_session_pool	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I_g_user_manager	global constructors keyed to g_user_manager	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I_locale_inst.cc	global constructors keyed to locale_inst.cc	t	197	197	DIFF	1.0000	libstdcxx/system	1
_GLOBAL__I_wlocale_inst.cc	global constructors keyed to wlocale_inst.cc	t	197	197	DIFF	1.0000	libstdcxx/system	1
_Unwind_Backtrace	_Unwind_Backtrace	T	178	178	DIFF	0.9455	libstdcxx/system	1
_Unwind_DebugHook	_Unwind_DebugHook	t	5	5	IDENTICAL	1.0000	libstdcxx/system	1
_Unwind_DeleteException	_Unwind_DeleteException	T	31	31	NEAR	1.0000	libstdcxx/system	1
_Unwind_FindEnclosingFunction	_Unwind_FindEnclosingFunction	T	55	55	DIFF	0.8000	libstdcxx/system	1
_Unwind_Find_FDE	_Unwind_Find_FDE	T	478	478	NEAR	1.0000	libstdcxx/system	1
_Unwind_ForcedUnwind	_Unwind_ForcedUnwind	T	262	262	NEAR	1.0000	libstdcxx/system	1
_Unwind_ForcedUnwind_Phase2	_Unwind_ForcedUnwind_Phase2	t	282	290	DIFF	0.9744	libstdcxx/system	1
_Unwind_GetCFA	_Unwind_GetCFA	T	11	11	IDENTICAL	1.0000	libstdcxx/system	1
_Unwind_GetDataRelBase	_Unwind_GetDataRelBase	T	11	11	IDENTICAL	1.0000	libstdcxx/system	1
_Unwind_GetGR	_Unwind_GetGR	T	105	105	NEAR	1.0000	libstdcxx/system	1
_Unwind_GetIP	_Unwind_GetIP	T	11	11	IDENTICAL	1.0000	libstdcxx/system	1
_Unwind_GetIPInfo	_Unwind_GetIPInfo	T	22	22	IDENTICAL	1.0000	libstdcxx/system	1
_Unwind_GetLanguageSpecificData	_Unwind_GetLanguageSpecificData	T	11	11	IDENTICAL	1.0000	libstdcxx/system	1
_Unwind_GetRegionStart	_Unwind_GetRegionStart	T	11	11	IDENTICAL	1.0000	libstdcxx/system	1
_Unwind_GetTextRelBase	_Unwind_GetTextRelBase	T	11	11	IDENTICAL	1.0000	libstdcxx/system	1
_Unwind_IteratePhdrCallback	_Unwind_IteratePhdrCallback	t	1251	1251	NEAR	1.0000	libstdcxx/system	1
_Unwind_RaiseException	_Unwind_RaiseException	T	396	396	NEAR	1.0000	libstdcxx/system	1
_Unwind_RaiseException_Phase2	_Unwind_RaiseException_Phase2	t	190	190	NEAR	1.0000	libstdcxx/system	1
_Unwind_Resume	_Unwind_Resume	T	248	248	NEAR	1.0000	libstdcxx/system	1
_Unwind_Resume_or_Rethrow	_Unwind_Resume_or_Rethrow	T	259	259	NEAR	1.0000	libstdcxx/system	1
_Unwind_SetGR	_Unwind_SetGR	T	109	109	NEAR	1.0000	libstdcxx/system	1
_Unwind_SetIP	_Unwind_SetIP	T	14	14	IDENTICAL	1.0000	libstdcxx/system	1
_Unwind_SetSpColumn	_Unwind_SetSpColumn	t	61	61	NEAR	1.0000	libstdcxx/system	1
_Z11timeGetTimev	timeGetTime()	T	10	10	IDENTICAL	1.0000	project	1
_Z13regist_signaliPFviE	regist_signal(int, void (*)(int))	T	143	143	NEAR	1.0000	project	1
_Z14NumberToStringji	NumberToString(unsigned int, int)	T	77	76	DIFF	0.9545	project	1
_Z14NumberToStringyi	NumberToString(unsigned long long, int)	T	98	96	DIFF	0.9655	project	1
_Z14PrintBackTracev	PrintBackTrace()	T	175	170	DIFF	0.8750	project	1
_Z14StringToNumberPKc	StringToNumber(char const*)	T	48	48	NEAR	1.0000	project	1
_Z14checkTimeTodayli	checkTimeToday(long, int)	T	109	109	NEAR	1.0000	project	1
_Z14regist_signalsv	regist_signals()	T	559	559	NEAR	1.0000	project	1
_Z14signal_handleri	signal_handler(int)	T	125	125	NEAR	1.0000	project	1
_Z16get_packet_tablev	get_packet_table()	T	10	10	NEAR	1.0000	project	1
_Z19omll_dump_core_filev	omll_dump_core_file()	T	11	11	NEAR	1.0000	project	1
_Z21get_packet_table_sizev	get_packet_table_size()	T	10	10	IDENTICAL	1.0000	project	1
_Z22CFileLogWriterInstancev	CFileLogWriterInstance()	T	147	147	NEAR	1.0000	project	1
_Z23GetCurrentResetBaseTimeli	GetCurrentResetBaseTime(long, int)	T	178	178	NEAR	1.0000	project	1
_Z41__static_initialization_and_destruction_0ii	__static_initialization_and_destruction_0(int, int)	t	64	195	DIFF	0.4324	libstdcxx/system	1
_Z6Rand_rPj	Rand_r(unsigned int*)	T	193	167	DIFF	0.7778	libstdcxx/system	1
_Z7commandPKcS0_	command(char const*, char const*)	T	243	243	NEAR	1.0000	project	1
_Z8Char2HexhPc	Char2Hex(unsigned char, char*)	T	66	64	DIFF	0.9545	project	1
_Z8Hex2CharPKcRh	Hex2Char(char const*, unsigned char&)	T	225	225	NEAR	1.0000	project	1
_Z8SDC_RandPj	SDC_Rand(unsigned int*)	T	166	147	DIFF	0.8750	project	1
_ZL12comp_by_timeRK15STGuildCargoLogS1_	comp_by_time(STGuildCargoLog const&, STGuildCargoLog const&)	t	20	20	IDENTICAL	1.0000	project	1
_ZL15get_ttype_entryP16lsda_header_infom	get_ttype_entry(lsda_header_info*, unsigned long)	t	140	140	DIFF	0.9811	libstdcxx/system	1
_ZL16get_adjusted_ptrPKSt9type_infoS1_PPv	get_adjusted_ptr(std::type_info const*, std::type_info const*, void**)	t	95	97	DIFF	0.9474	libstdcxx/system	1
_ZL17parse_lsda_headerP15_Unwind_ContextPKhP16lsda_header_info	parse_lsda_header(_Unwind_Context*, unsigned char const*, lsda_header_info*)	t	260	260	DIFF	0.9130	libstdcxx/system	1
_ZL20check_exception_specP16lsda_header_infoPKSt9type_infoPvl	check_exception_spec(lsda_header_info*, std::type_info const*, void*, long)	t	132	133	DIFF	0.8868	libstdcxx/system	1
_ZL21base_of_encoded_valuehP15_Unwind_Context	base_of_encoded_value(unsigned char, _Unwind_Context*)	t	126	127	DIFF	0.8868	libstdcxx/system	1
_ZL23__gxx_exception_cleanup19_Unwind_Reason_CodeP17_Unwind_Exception	__gxx_exception_cleanup(_Unwind_Reason_Code, _Unwind_Exception*)	t	96	97	DIFF	0.9688	libstdcxx/system	1
_ZL28read_encoded_value_with_basehjPKhPj	read_encoded_value_with_base(unsigned char, unsigned int, unsigned char const*, unsigned int*)	t	363	328	DIFF	0.8031	libstdcxx/system	1
_ZN10ArchiveLogC1EPKcz	ArchiveLog::ArchiveLog(char const*, ...)	T	224	224	NEAR	1.0000	project	1
_ZN10ArchiveLogC2EPKcz	ArchiveLog::ArchiveLog(char const*, ...)	T	224	224	NEAR	1.0000	project	1
_ZN10CFindBuddyC1EcPKc	CFindBuddy::CFindBuddy(char, char const*)	W	82	82	NEAR	1.0000	project	1
_ZN10CFindBuddyC2EcPKc	CFindBuddy::CFindBuddy(char, char const*)	W	82	82	NEAR	1.0000	project	1
_ZN10CMyFileLogC1EPKci	CMyFileLog::CMyFileLog(char const*, int)	T	22	22	IDENTICAL	1.0000	project	1
_ZN10CMyFileLogC2EPKci	CMyFileLog::CMyFileLog(char const*, int)	T	22	22	IDENTICAL	1.0000	project	1
_ZN10CMyFileLogclEPKcS1_z	CMyFileLog::operator()(char const*, char const*, ...)	T	173	172	DIFF	0.9556	project	1
_ZN10__cxxabiv111__terminateEPFvvE	__cxxabiv1::__terminate(void (*)())	T	36	37	DIFF	0.9091	libstdcxx/system	1
_ZN10__cxxabiv112__unexpectedEPFvvE	__cxxabiv1::__unexpected(void (*)())	T	26	27	DIFF	0.8750	libstdcxx/system	1
_ZN10__cxxabiv115__forced_unwindD0Ev	__cxxabiv1::__forced_unwind::~__forced_unwind()	T	52	53	DIFF	0.9412	libstdcxx/system	1
_ZN10__cxxabiv115__forced_unwindD1Ev	__cxxabiv1::__forced_unwind::~__forced_unwind()	T	30	30	NEAR	1.0000	libstdcxx/system	1
_ZN10__cxxabiv115__forced_unwindD2Ev	__cxxabiv1::__forced_unwind::~__forced_unwind()	T	30	30	NEAR	1.0000	libstdcxx/system	1
_ZN10__cxxabiv117__class_type_infoD0Ev	__cxxabiv1::__class_type_info::~__class_type_info()	T	52	53	DIFF	0.9412	libstdcxx/system	1
_ZN10__cxxabiv117__class_type_infoD1Ev	__cxxabiv1::__class_type_info::~__class_type_info()	T	46	48	DIFF	0.8750	libstdcxx/system	1
_ZN10__cxxabiv117__class_type_infoD2Ev	__cxxabiv1::__class_type_info::~__class_type_info()	T	46	48	DIFF	0.8750	libstdcxx/system	1
_ZN10__cxxabiv119__foreign_exceptionD0Ev	__cxxabiv1::__foreign_exception::~__foreign_exception()	T	52	53	DIFF	0.9412	libstdcxx/system	1
_ZN10__cxxabiv119__foreign_exceptionD1Ev	__cxxabiv1::__foreign_exception::~__foreign_exception()	T	30	30	NEAR	1.0000	libstdcxx/system	1
_ZN10__cxxabiv119__foreign_exceptionD2Ev	__cxxabiv1::__foreign_exception::~__foreign_exception()	T	30	30	NEAR	1.0000	libstdcxx/system	1
_ZN10__cxxabiv120__si_class_type_infoD0Ev	__cxxabiv1::__si_class_type_info::~__si_class_type_info()	T	52	53	DIFF	0.9412	libstdcxx/system	1
_ZN10__cxxabiv120__si_class_type_infoD1Ev	__cxxabiv1::__si_class_type_info::~__si_class_type_info()	T	46	48	DIFF	0.8750	libstdcxx/system	1
_ZN10__cxxabiv120__si_class_type_infoD2Ev	__cxxabiv1::__si_class_type_info::~__si_class_type_info()	T	46	48	DIFF	0.8750	libstdcxx/system	1
_ZN10__cxxabiv121__vmi_class_type_infoD0Ev	__cxxabiv1::__vmi_class_type_info::~__vmi_class_type_info()	T	52	53	DIFF	0.9412	libstdcxx/system	1
_ZN10__cxxabiv121__vmi_class_type_infoD1Ev	__cxxabiv1::__vmi_class_type_info::~__vmi_class_type_info()	T	46	48	DIFF	0.8750	libstdcxx/system	1
_ZN10__cxxabiv121__vmi_class_type_infoD2Ev	__cxxabiv1::__vmi_class_type_info::~__vmi_class_type_info()	T	46	48	DIFF	0.8750	libstdcxx/system	1
_ZN11CArchiveLog13CreateLogFileEPKc	CArchiveLog::CreateLogFile(char const*)	T	46	46	NEAR	1.0000	project	1
_ZN11CArchiveLog13CreateLogFileER8DateTime	CArchiveLog::CreateLogFile(DateTime&)	T	137	137	NEAR	1.0000	project	1
_ZN11CArchiveLog8OpenFileEPKc	CArchiveLog::OpenFile(char const*)	T	74	74	NEAR	1.0000	project	1
_ZN11CArchiveLog8WriteLogEPKc	CArchiveLog::WriteLog(char const*)	T	283	289	DIFF	0.9651	project	1
_ZN11CArchiveLog9CloseFileEv	CArchiveLog::CloseFile()	T	44	44	NEAR	1.0000	project	1
_ZN11CArchiveLogC1Ev	CArchiveLog::CArchiveLog()	T	31	31	NEAR	1.0000	project	1
_ZN11CArchiveLogC2Ev	CArchiveLog::CArchiveLog()	T	31	31	NEAR	1.0000	project	1
_ZN11CArchiveLogD1Ev	CArchiveLog::~CArchiveLog()	T	19	19	NEAR	1.0000	project	1
_ZN11CArchiveLogD2Ev	CArchiveLog::~CArchiveLog()	T	19	19	NEAR	1.0000	project	1
_ZN11packet_proc13OnReqAddBuddyEP15ISessionManagerP15CNetworkSessionP12PacketHeader	packet_proc::OnReqAddBuddy(ISessionManager*, CNetworkSession*, PacketHeader*)	T	537	537	NEAR	1.0000	project	1
_ZN11packet_proc13OnResAddBuddyEP15ISessionManagerP15CNetworkSessionP12PacketHeader	packet_proc::OnResAddBuddy(ISessionManager*, CNetworkSession*, PacketHeader*)	T	479	479	NEAR	1.0000	project	1
_ZN11packet_proc14OnBuddyChatMsgEP15ISessionManagerP15CNetworkSessionP12PacketHeader	packet_proc::OnBuddyChatMsg(ISessionManager*, CNetworkSession*, PacketHeader*)	T	154	154	NEAR	1.0000	project	1
_ZN11packet_proc14OnReqBuddyListEP15ISessionManagerP15CNetworkSessionP12PacketHeader	packet_proc::OnReqBuddyList(ISessionManager*, CNetworkSession*, PacketHeader*)	T	101	101	NEAR	1.0000	project	1
_ZN11packet_proc16OnReqRemoveBuddyEP15ISessionManagerP15CNetworkSessionP12PacketHeader	packet_proc::OnReqRemoveBuddy(ISessionManager*, CNetworkSession*, PacketHeader*)	T	154	154	NEAR	1.0000	project	1
_ZN11packet_proc23OnBuddyChatMsgHyperLinkEP15ISessionManagerP15CNetworkSessionP12PacketHeader	packet_proc::OnBuddyChatMsgHyperLink(ISessionManager*, CNetworkSession*, PacketHeader*)	T	154	154	NEAR	1.0000	project	1
_ZN11packet_proc7OnLoginEP15ISessionManagerP15CNetworkSessionP12PacketHeader	packet_proc::OnLogin(ISessionManager*, CNetworkSession*, PacketHeader*)	T	296	296	NEAR	1.0000	project	1
_ZN11packet_proc8OnLogoutEP15ISessionManagerP15CNetworkSessionP12PacketHeader	packet_proc::OnLogout(ISessionManager*, CNetworkSession*, PacketHeader*)	T	174	174	NEAR	1.0000	project	1
_ZN12CToolFileLogC1EPKci	CToolFileLog::CToolFileLog(char const*, int)	T	22	22	IDENTICAL	1.0000	project	1
_ZN12CToolFileLogC2EPKci	CToolFileLog::CToolFileLog(char const*, int)	T	22	22	IDENTICAL	1.0000	project	1
_ZN12CToolFileLogclEPKciS1_z	CToolFileLog::operator()(char const*, int, char const*, ...)	T	329	327	DIFF	0.9390	project	1
_ZN12CUserManager10enter_userEjP15CNetworkSessionR14STGameUserInfoiP16STPvPBuddyDBInfo	CUserManager::enter_user(unsigned int, CNetworkSession*, STGameUserInfo&, int, STPvPBuddyDBInfo*)	T	293	293	NEAR	1.0000	project	1
_ZN12CUserManager10leave_userEP15CNetworkSession	CUserManager::leave_user(CNetworkSession*)	T	166	166	NEAR	1.0000	project	1
_ZN12CUserManager10leave_userEj	CUserManager::leave_user(unsigned int)	T	109	109	NEAR	1.0000	project	1
_ZN12CUserManager9find_userEcPKc	CUserManager::find_user(char, char const*)	T	240	240	NEAR	1.0000	project	1
_ZN12CUserManager9find_userEj	CUserManager::find_user(unsigned int)	T	142	142	NEAR	1.0000	project	1
_ZN12CUserManagerC1Ev	CUserManager::CUserManager()	W	19	19	NEAR	1.0000	project	1
_ZN12CUserManagerC2Ev	CUserManager::CUserManager()	W	19	19	NEAR	1.0000	project	1
_ZN12CUserManagerD1Ev	CUserManager::~CUserManager()	W	19	19	NEAR	1.0000	project	1
_ZN12CUserManagerD2Ev	CUserManager::~CUserManager()	W	19	19	NEAR	1.0000	project	1
_ZN12PacketHeaderC1Ett	PacketHeader::PacketHeader(unsigned short, unsigned short)	W	62	62	IDENTICAL	1.0000	project	1
_ZN12PacketHeaderC2Ett	PacketHeader::PacketHeader(unsigned short, unsigned short)	W	62	62	IDENTICAL	1.0000	project	1
_ZN12PvPBuddyInfoC1Ev	PvPBuddyInfo::PvPBuddyInfo()	W	96	96	NEAR	1.0000	project	1
_ZN12PvPBuddyInfoC2Ev	PvPBuddyInfo::PvPBuddyInfo()	W	96	96	NEAR	1.0000	project	1
_ZN12_GLOBAL__N_116get_locale_mutexEv	(anonymous namespace)::get_locale_mutex()	t	163	175	DIFF	0.6364	libstdcxx/system	1
_ZN12_GLOBAL__N_121system_error_categoryD0Ev	(anonymous namespace)::system_error_category::~system_error_category()	t	21	22	DIFF	0.8571	libstdcxx/system	1
_ZN12_GLOBAL__N_121system_error_categoryD1Ev	(anonymous namespace)::system_error_category::~system_error_category()	t	14	14	NEAR	1.0000	libstdcxx/system	1
_ZN12_GLOBAL__N_121system_error_categoryD2Ev	(anonymous namespace)::system_error_category::~system_error_category()	t	14	14	NEAR	1.0000	libstdcxx/system	1
_ZN12_GLOBAL__N_122generic_error_categoryD0Ev	(anonymous namespace)::generic_error_category::~generic_error_category()	t	21	22	DIFF	0.8571	libstdcxx/system	1
_ZN12_GLOBAL__N_122generic_error_categoryD1Ev	(anonymous namespace)::generic_error_category::~generic_error_category()	t	14	14	NEAR	1.0000	libstdcxx/system	1
_ZN12_GLOBAL__N_122generic_error_categoryD2Ev	(anonymous namespace)::generic_error_category::~generic_error_category()	t	14	14	NEAR	1.0000	libstdcxx/system	1
_ZN12_GLOBAL__N_1L6xwriteEiPKci	(anonymous namespace)::xwrite(int, char const*, int)	t	74	76	DIFF	0.9062	libstdcxx/system	1
_ZN12socket_event6CEpollI15CNetworkSessionE12CreateEventsEi	socket_event::CEpoll<CNetworkSession>::CreateEvents(int)	W	139	139	NEAR	1.0000	project	1
_ZN12socket_event6CEpollI15CNetworkSessionE12WaitForEventEi	socket_event::CEpoll<CNetworkSession>::WaitForEvent(int)	W	555	534	DIFF	0.9661	project	1
_ZN12socket_event6CEpollI15CNetworkSessionE15RegisterSessionEPS1_i	socket_event::CEpoll<CNetworkSession>::RegisterSession(CNetworkSession*, int)	W	102	102	NEAR	1.0000	project	1
_ZN12socket_event6CEpollI15CNetworkSessionE17UnregisterSessionEPS1_	socket_event::CEpoll<CNetworkSession>::UnregisterSession(CNetworkSession*)	W	98	98	NEAR	1.0000	project	1
_ZN12socket_event6CEpollI15CNetworkSessionEC1Ev	socket_event::CEpoll<CNetworkSession>::CEpoll()	W	34	34	NEAR	1.0000	project	1
_ZN12socket_event6CEpollI15CNetworkSessionEC2Ev	socket_event::CEpoll<CNetworkSession>::CEpoll()	W	34	34	NEAR	1.0000	project	1
_ZN12socket_event6CEpollI15CNetworkSessionED0Ev	socket_event::CEpoll<CNetworkSession>::~CEpoll()	W	30	30	NEAR	1.0000	project	1
_ZN12socket_event6CEpollI15CNetworkSessionED1Ev	socket_event::CEpoll<CNetworkSession>::~CEpoll()	W	81	81	NEAR	1.0000	project	1
_ZN12socket_event6CEpollI15CNetworkSessionED2Ev	socket_event::CEpoll<CNetworkSession>::~CEpoll()	W	81	81	NEAR	1.0000	project	1
_ZN13CBuddyManager10find_buddyEcPKc	CBuddyManager::find_buddy(char, char const*)	T	237	237	NEAR	1.0000	project	1
_ZN13CBuddyManager8get_sizeEv	CBuddyManager::get_size()	W	19	19	NEAR	1.0000	project	1
_ZN13CBuddyManager9add_buddyER16STPvPBuddyDBInfo	CBuddyManager::add_buddy(STPvPBuddyDBInfo&)	T	26	26	NEAR	1.0000	project	1
_ZN13CBuddyManager9del_buddyEcPKc	CBuddyManager::del_buddy(char, char const*)	T	262	262	NEAR	1.0000	project	1
_ZN13CBuddyManagerC1ERKS_	CBuddyManager::CBuddyManager(CBuddyManager const&)	W	26	26	NEAR	1.0000	project	1
_ZN13CBuddyManagerC1Ev	CBuddyManager::CBuddyManager()	W	19	19	NEAR	1.0000	project	1
_ZN13CBuddyManagerC2ERKS_	CBuddyManager::CBuddyManager(CBuddyManager const&)	W	26	26	NEAR	1.0000	project	1
_ZN13CBuddyManagerC2Ev	CBuddyManager::CBuddyManager()	W	19	19	NEAR	1.0000	project	1
_ZN13CBuddyManagerD1Ev	CBuddyManager::~CBuddyManager()	W	66	66	NEAR	1.0000	project	1
_ZN13CBuddyManagerD2Ev	CBuddyManager::~CBuddyManager()	W	66	66	NEAR	1.0000	project	1
_ZN13CMyRawFileLogclEPKcS1_z	CMyRawFileLog::operator()(char const*, char const*, ...)	T	106	105	DIFF	0.9259	project	1
_ZN13CPacketParserC1Ev	CPacketParser::CPacketParser()	T	5	5	IDENTICAL	1.0000	project	1
_ZN13CPacketParserC2Ev	CPacketParser::CPacketParser()	T	5	5	IDENTICAL	1.0000	project	1
_ZN13CPacketParserD1Ev	CPacketParser::~CPacketParser()	T	5	5	IDENTICAL	1.0000	project	1
_ZN13CPacketParserD2Ev	CPacketParser::~CPacketParser()	T	5	5	IDENTICAL	1.0000	project	1
_ZN14CFileLogWriter11writeRawLogEPKcS1_z	CFileLogWriter::writeRawLog(char const*, char const*, ...)	T	1007	1020	DIFF	0.9802	project	1
_ZN14CFileLogWriter8writeLogEPKcS1_z	CFileLogWriter::writeLog(char const*, char const*, ...)	T	1021	1040	DIFF	0.9739	project	1
_ZN14CFileLogWriterC1Ev	CFileLogWriter::CFileLogWriter()	T	45	45	NEAR	1.0000	project	1
_ZN14CFileLogWriterC2Ev	CFileLogWriter::CFileLogWriter()	T	45	45	NEAR	1.0000	project	1
_ZN14CFileLogWriterD0Ev	CFileLogWriter::~CFileLogWriter()	T	30	30	NEAR	1.0000	project	1
_ZN14CFileLogWriterD1Ev	CFileLogWriter::~CFileLogWriter()	T	65	65	NEAR	1.0000	project	1
_ZN14CFileLogWriterD2Ev	CFileLogWriter::~CFileLogWriter()	T	65	65	NEAR	1.0000	project	1
_ZN14STGameUserInfoC1Ev	STGameUserInfo::STGameUserInfo()	W	109	109	NEAR	1.0000	project	1
_ZN14STGameUserInfoC2Ev	STGameUserInfo::STGameUserInfo()	W	109	109	NEAR	1.0000	project	1
_ZN14network_engine13CSessionProxyI15CNetworkSessionN12socket_event6CEpollEE10TryConnectEPKci	network_engine::CSessionProxy<CNetworkSession, socket_event::CEpoll>::TryConnect(char const*, int)	W	106	106	NEAR	1.0000	project	1
_ZN14network_engine13CSessionProxyI15CNetworkSessionN12socket_event6CEpollEE12CreateEventsEi	network_engine::CSessionProxy<CNetworkSession, socket_event::CEpoll>::CreateEvents(int)	W	26	26	NEAR	1.0000	project	1
_ZN14network_engine13CSessionProxyI15CNetworkSessionN12socket_event6CEpollEE13TryDisconnectEPS1_	network_engine::CSessionProxy<CNetworkSession, socket_event::CEpoll>::TryDisconnect(CNetworkSession*)	W	37	37	NEAR	1.0000	project	1
_ZN14network_engine13CSessionProxyI15CNetworkSessionN12socket_event6CEpollEE19WaitForSessionEventEi	network_engine::CSessionProxy<CNetworkSession, socket_event::CEpoll>::WaitForSessionEvent(int)	W	26	26	NEAR	1.0000	project	1
_ZN14network_engine13CSessionProxyI15CNetworkSessionN12socket_event6CEpollEE9TryListenEPKci	network_engine::CSessionProxy<CNetworkSession, socket_event::CEpoll>::TryListen(char const*, int)	W	80	80	NEAR	1.0000	project	1
_ZN14network_engine13CSessionProxyI15CNetworkSessionN12socket_event6CEpollEEC1Ev	network_engine::CSessionProxy<CNetworkSession, socket_event::CEpoll>::CSessionProxy()	W	28	28	NEAR	1.0000	project	1
_ZN14network_engine13CSessionProxyI15CNetworkSessionN12socket_event6CEpollEEC2Ev	network_engine::CSessionProxy<CNetworkSession, socket_event::CEpoll>::CSessionProxy()	W	28	28	NEAR	1.0000	project	1
_ZN14network_engine13CSessionProxyI15CNetworkSessionN12socket_event6CEpollEED0Ev	network_engine::CSessionProxy<CNetworkSession, socket_event::CEpoll>::~CSessionProxy()	W	30	30	NEAR	1.0000	project	1
_ZN14network_engine13CSessionProxyI15CNetworkSessionN12socket_event6CEpollEED1Ev	network_engine::CSessionProxy<CNetworkSession, socket_event::CEpoll>::~CSessionProxy()	W	48	48	NEAR	1.0000	project	1
_ZN14network_engine13CSessionProxyI15CNetworkSessionN12socket_event6CEpollEED2Ev	network_engine::CSessionProxy<CNetworkSession, socket_event::CEpoll>::~CSessionProxy()	W	48	48	NEAR	1.0000	project	1
_ZN15CAbstractSocketILi4096ELi4096EE10disconnectEv	CAbstractSocket<4096, 4096>::disconnect()	W	53	53	NEAR	1.0000	project	1
_ZN15CAbstractSocketILi4096ELi4096EE11ConnectPeerEv	CAbstractSocket<4096, 4096>::ConnectPeer()	W	118	118	NEAR	1.0000	project	1
_ZN15CAbstractSocketILi4096ELi4096EE11GetRecvBuffEiRi	CAbstractSocket<4096, 4096>::GetRecvBuff(int, int&)	W	56	56	IDENTICAL	1.0000	project	1
_ZN15CAbstractSocketILi4096ELi4096EE11SetNonblockEi	CAbstractSocket<4096, 4096>::SetNonblock(int)	W	88	88	NEAR	1.0000	project	1
_ZN15CAbstractSocketILi4096ELi4096EE11recv_packetEv	CAbstractSocket<4096, 4096>::recv_packet()	W	346	342	DIFF	0.9615	project	1
_ZN15CAbstractSocketILi4096ELi4096EE11send_packetEPKci	CAbstractSocket<4096, 4096>::send_packet(char const*, int)	W	443	447	DIFF	0.9915	project	1
_ZN15CAbstractSocketILi4096ELi4096EE11send_packetEv	CAbstractSocket<4096, 4096>::send_packet()	W	518	510	DIFF	0.9710	project	1
_ZN15CAbstractSocketILi4096ELi4096EE12AcceptSocketEv	CAbstractSocket<4096, 4096>::AcceptSocket()	W	174	174	DIFF	1.0000	project	1
_ZN15CAbstractSocketILi4096ELi4096EE18CreateListenSocketERiiPKc	CAbstractSocket<4096, 4096>::CreateListenSocket(int&, int, char const*)	W	331	331	NEAR	1.0000	project	1
