name	demangled	orig_type	orig_size	new_size	class	overlap	origin	in_orig
_ZNKSt6locale2id5_M_idEv	std::locale::id::_M_id() const	T	59	59	DIFF	0.9500	libstdcxx/system	1
_ZNKSt6locale4nameEv	std::locale::name() const	T	645	645	DIFF	0.9727	libstdcxx/system	1
_ZNKSt6localeeqERKS_	std::locale::operator==(std::locale const&) const	T	411	419	DIFF	0.9708	libstdcxx/system	1
_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE12_M_check_lenEjPKc	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_check_len(unsigned int, char const*) const	W	165	165	NEAR	1.0000	project	1
_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE3endEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::end() const	W	44	44	NEAR	1.0000	project	1
_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE4sizeEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::size() const	W	30	30	IDENTICAL	1.0000	project	1
_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE5beginEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::begin() const	W	43	43	NEAR	1.0000	project	1
_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE8max_sizeEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::max_size() const	W	27	27	NEAR	1.0000	project	1
_ZNKSt6vectorISsSaISsEE12_M_check_lenEjPKc	std::vector<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_check_len(unsigned int, char const*) const	W	165	165	NEAR	1.0000	project	1
_ZNKSt6vectorISsSaISsEE4sizeEv	std::vector<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const	W	27	27	IDENTICAL	1.0000	project	1
_ZNKSt6vectorISsSaISsEE8max_sizeEv	std::vector<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::max_size() const	W	27	27	NEAR	1.0000	project	1
_ZNKSt7codecvtIcc11__mbstate_tE10do_unshiftERS0_PcS3_RS3_	std::codecvt<char, char, __mbstate_t>::do_unshift(__mbstate_t&, char*, char*, char*&) const	T	18	18	IDENTICAL	1.0000	libstdcxx/system	1
_ZNKSt7codecvtIcc11__mbstate_tE11do_encodingEv	std::codecvt<char, char, __mbstate_t>::do_encoding() const	T	10	10	IDENTICAL	1.0000	libstdcxx/system	1
_ZNKSt7codecvtIcc11__mbstate_tE13do_max_lengthEv	std::codecvt<char, char, __mbstate_t>::do_max_length() const	T	10	10	IDENTICAL	1.0000	libstdcxx/system	1
_ZNKSt7codecvtIcc11__mbstate_tE16do_always_noconvEv	std::codecvt<char, char, __mbstate_t>::do_always_noconv() const	T	10	10	IDENTICAL	1.0000	libstdcxx/system	1
_ZNKSt7codecvtIcc11__mbstate_tE5do_inERS0_PKcS4_RS4_PcS6_RS6_	std::codecvt<char, char, __mbstate_t>::do_in(__mbstate_t&, char const*, char const*, char const*&, char*, char*, char*&) const	T	26	26	NEAR	1.0000	libstdcxx/system	1
_ZNKSt7codecvtIcc11__mbstate_tE6do_outERS0_PKcS4_RS4_PcS6_RS6_	std::codecvt<char, char, __mbstate_t>::do_out(__mbstate_t&, char const*, char const*, char const*&, char*, char*, char*&) const	T	26	26	NEAR	1.0000	libstdcxx/system	1
_ZNKSt7codecvtIcc11__mbstate_tE9do_lengthERS0_PKcS4_j	std::codecvt<char, char, __mbstate_t>::do_length(__mbstate_t&, char const*, char const*, unsigned int) const	T	20	19	DIFF	0.8000	libstdcxx/system	1
_ZNKSt7codecvtIwc11__mbstate_tE10do_unshiftERS0_PcS3_RS3_	std::codecvt<wchar_t, char, __mbstate_t>::do_unshift(__mbstate_t&, char*, char*, char*&) const	T	18	18	IDENTICAL	1.0000	libstdcxx/system	1
_ZNKSt7codecvtIwc11__mbstate_tE11do_encodingEv	std::codecvt<wchar_t, char, __mbstate_t>::do_encoding() const	T	61	62	DIFF	0.9545	libstdcxx/system	1
_ZNKSt7codecvtIwc11__mbstate_tE13do_max_lengthEv	std::codecvt<wchar_t, char, __mbstate_t>::do_max_length() const	T	55	56	DIFF	0.9500	libstdcxx/system	1
_ZNKSt7codecvtIwc11__mbstate_tE16do_always_noconvEv	std::codecvt<wchar_t, char, __mbstate_t>::do_always_noconv() const	T	7	7	IDENTICAL	1.0000	libstdcxx/system	1
_ZNKSt7codecvtIwc11__mbstate_tE5do_inERS0_PKcS4_RS4_PwS6_RS6_	std::codecvt<wchar_t, char, __mbstate_t>::do_in(__mbstate_t&, char const*, char const*, char const*&, wchar_t*, wchar_t*, wchar_t*&) const	T	468	468	DIFF	0.9620	libstdcxx/system	1
_ZNKSt7codecvtIwc11__mbstate_tE6do_outERS0_PKwS4_RS4_PcS6_RS6_	std::codecvt<wchar_t, char, __mbstate_t>::do_out(__mbstate_t&, wchar_t const*, wchar_t const*, wchar_t const*&, char*, char*, char*&) const	T	517	525	DIFF	0.9713	libstdcxx/system	1
_ZNKSt7codecvtIwc11__mbstate_tE9do_lengthERS0_PKcS4_j	std::codecvt<wchar_t, char, __mbstate_t>::do_length(__mbstate_t&, char const*, char const*, unsigned int) const	T	432	440	DIFF	0.9858	libstdcxx/system	1
_ZNKSt7collateIcE10_M_compareEPKcS2_	std::collate<char>::_M_compare(char const*, char const*) const	T	50	51	DIFF	0.9474	libstdcxx/system	1
_ZNKSt7collateIcE10do_compareEPKcS2_S2_S2_	std::collate<char>::do_compare(char const*, char const*, char const*, char const*) const	W	407	407	DIFF	0.9474	libstdcxx/system	1
_ZNKSt7collateIcE12_M_transformEPcPKcj	std::collate<char>::_M_transform(char*, char const*, unsigned int) const	T	44	46	DIFF	0.8824	libstdcxx/system	1
_ZNKSt7collateIcE12do_transformEPKcS2_	std::collate<char>::do_transform(char const*, char const*) const	W	462	462	DIFF	0.9860	libstdcxx/system	1
_ZNKSt7collateIcE4hashEPKcS2_	std::collate<char>::hash(char const*, char const*) const	W	17	18	DIFF	0.8750	libstdcxx/system	1
_ZNKSt7collateIcE7compareEPKcS2_S2_S2_	std::collate<char>::compare(char const*, char const*, char const*, char const*) const	W	17	18	DIFF	0.8750	libstdcxx/system	1
_ZNKSt7collateIcE7do_hashEPKcS2_	std::collate<char>::do_hash(char const*, char const*) const	W	44	44	DIFF	0.9500	libstdcxx/system	1
_ZNKSt7collateIcE9transformEPKcS2_	std::collate<char>::transform(char const*, char const*) const	W	51	52	DIFF	0.9474	libstdcxx/system	1
_ZNKSt7collateIwE10_M_compareEPKwS2_	std::collate<wchar_t>::_M_compare(wchar_t const*, wchar_t const*) const	T	50	51	DIFF	0.9474	libstdcxx/system	1
_ZNKSt7collateIwE10do_compareEPKwS2_S2_S2_	std::collate<wchar_t>::do_compare(wchar_t const*, wchar_t const*, wchar_t const*, wchar_t const*) const	W	407	407	DIFF	0.9474	libstdcxx/system	1
_ZNKSt7collateIwE12_M_transformEPwPKwj	std::collate<wchar_t>::_M_transform(wchar_t*, wchar_t const*, unsigned int) const	T	44	46	DIFF	0.8824	libstdcxx/system	1
_ZNKSt7collateIwE12do_transformEPKwS2_	std::collate<wchar_t>::do_transform(wchar_t const*, wchar_t const*) const	W	490	490	DIFF	0.9865	libstdcxx/system	1
_ZNKSt7collateIwE4hashEPKwS2_	std::collate<wchar_t>::hash(wchar_t const*, wchar_t const*) const	W	17	18	DIFF	0.8750	libstdcxx/system	1
_ZNKSt7collateIwE7compareEPKwS2_S2_S2_	std::collate<wchar_t>::compare(wchar_t const*, wchar_t const*, wchar_t const*, wchar_t const*) const	W	17	18	DIFF	0.8750	libstdcxx/system	1
_ZNKSt7collateIwE7do_hashEPKwS2_	std::collate<wchar_t>::do_hash(wchar_t const*, wchar_t const*) const	W	41	41	DIFF	0.9474	libstdcxx/system	1
_ZNKSt7collateIwE9transformEPKwS2_	std::collate<wchar_t>::transform(wchar_t const*, wchar_t const*) const	W	51	52	DIFF	0.9474	libstdcxx/system	1
