service	function	status
dbmw	_ZN10CDBManager41QueryDeathTowerPlayDataJobStatisticCreateEP45Packet_DBMW_DeathTower_Statistic_Playdata_Job	DIFF
dbmw	_ZN10CDBManager43QueryDeathTowerPlayDataPartyStatisticCreateEP47Packet_DBMW_DeathTower_Statistic_Playdata_Party	DIFF
dbmw	_ZN10CDBManager8AddBuddyEjPcR13STBuddyDBInfoRi	DIFF
dbmw	_ZN12CApplication15TranslateSignalEv	DIFF
dbmw	_ZN12CApplication4LoadEiPPc	DIFF
dbmw	_ZN13CPacketTracer19EndPacketProcessLogEj	NEAR
dbmw	_ZN13CPacketTracer21WritePacketProcessLogEv	DIFF
dbmw	_ZN13CPacketTracerC1Ev	NEAR
dbmw	_ZN13CQueryCounter10WriteDBLogER10CDBManager	DIFF
dbmw	_ZN13CTcpNetSystem14OpenTcpServiceERiPKct	DIFF
dbmw	_ZN13CTcpNetSystem18PushTcpSendPacketQEPc	DIFF
dbmw	_ZN13CTcpNetSystem21SetEpollAcceptedPeersEv	DIFF
dbmw	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	NEAR
dbmw	_ZN14CNetworkThread8dispatchEPv	DIFF
dbmw	_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi	DIFF
dbmw	_ZN14CServerHandler16SendAllTcpServerEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater13OnGuildSecedeEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater16OnDBMWInsertMailEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater16OnTcpServerLoginEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater17OnSendGuildLetterEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater18OnQueryGuildMemberEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater20OnRequestGuildCreateEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater20onCollectItemsUpdateEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater21OnGuildMasterDelegateEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater21OnLoadPeriodicMessageEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater21OnRegisterToBlackListEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater22OnPcRoomPlayTimeRewardEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater23OnDBMWVillageAttackRankEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater24OnSavePowerWarBonusPointEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater24onEndGameEventFromServerEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater25OnRequestApproveJoinGuildEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater25OnRequestBlackListOnLoginEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater26onStartGameEventFromServerEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater27OnQueryGuildAllMembersProxyEP12PacketHeader	DIFF
dbmw	_ZN17CPacketTranslater31OnUpdateTowerOfDespairStatisticEP12PacketHeader	DIFF
dbmw	_ZN18CFrameCountHandler18InitFrameCountInfoEP12CApplicationjt	DIFF
dbmw	_ZN6CMySql10exec_queryEv	DIFF
dbmw	_ZN6CMySql11blob_to_strEiPvi	DIFF
dbmw	_ZN6CMySql4execEj	DIFF
dbmw	_ZN6CMySql4openEPKcS1_S1_S1_	DIFF
dbmw	_ZN6CMySql4openEPKcjS1_S1_S1_	DIFF
dbmw	_ZN6CMySql7get_intEiRj	NEAR
guild	_ZN11CGuildBoard18sendGuildBoardDataEjjjP5CUser	DIFF
guild	_ZN11CGuildCargo10DeleteItemER11DnfItemInfoiihii	NEAR
guild	_ZN11CGuildCargo13InsertHistoryE25ENUM_GUILD_CARGO_BEHAVIORiPKciiPK12RandomOption	NEAR
guild	_ZN11CGuildCargo14SendGuildCargoEP5CUser	DIFF
guild	_ZN11CGuildCargo16PrintDnfItemInfoER11DnfItemInfo	DIFF
guild	_ZN11CGuildCargo20SendGuildCargoToDBMWEP14CServerHandleri	DIFF
guild	_ZN11CGuildCargo20SetGuildCargoHistoryEjP15STGuildCargoLog	DIFF
guild	_ZN11CTcpHandlerC1Ev	DIFF
guild	_ZN11CUdpHandler16InitServerSocketEi	DIFF
guild	_ZN12CApplication15TranslateSignalEv	DIFF
guild	_ZN12CApplication4LoadEiPPc	DIFF
guild	_ZN12CUserManager17DeleteUser_CharNoEj	NEAR
guild	_ZN12CUserManager17InsertUser_CharNoEjP5CUser	NEAR
guild	_ZN12CUserManager19InsertUser_CharNameEPcP5CUser	NEAR
guild	_ZN13CAppStartInit4InitEP12CApplicationiPPc	DIFF
guild	_ZN13CGuildManager13GuildMemLoginEjP5CUser	DIFF
guild	_ZN13CGuildManager14DBGuildProcessEP14CServerHandlerb	DIFF
guild	_ZN13CGuildManager14GuildMemLogoutEjP5CUser	DIFF
guild	_ZN13CGuildManager16GetAttendanceExpEji	NEAR
guild	_ZN13CGuildManager17GetAttendanceInfoEjR16STAttendanceInfo	DIFF
guild	_ZN13CPowerManager23SendPowerWarProcessInfoEj	DIFF
guild	_ZN13CPowerManager34SendPowerWarEndInfoInSpecificPowerEc	DIFF
guild	_ZN13CTcpNetSystem10SendPacketEv	NEAR
guild	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	DIFF
guild	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	DIFF
guild	_ZN14CPacketDecoderC1Ev	DIFF
guild	_ZN17CPacketTranslater12OnGuildCargoEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater15OnCallGuildInfoEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater17OnCallGuildInviteEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater17OnCharacterDeleteEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater18OnApproveJoinGuildEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater18OnCallGuildLevelUpEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater18OnNoticeGuildEnterEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater18OnRequestBlackListEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater19OnGuildCargoHistoryEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater19OnNoticeGuildSecedeEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater19OnNoticeGuildWarEndEP12PacketHeader	DIFF
guild	_ZN17CPacketTranslater20OnDBReplyGuildCreateEP12PacketHeader	DIFF
