service	function	status
statics	_ZN16StatisticManager32WriteDungeonPartyCharacStatisticEP37Packet_Dungeon_Statistic_Party_Charac	DIFF
statics	_ZN16StatisticManager35WriteDeathTowerPlayDataJobStatisticEP40Packet_DeathTower_Statistic_Playdata_Job	DIFF
statics	_ZN16StatisticManager36SendDBDeathTowerPlayDataJobStatisticEP14CServerHandler	DIFF
statics	_ZN16StatisticManager37WriteDeathTowerPlayDataPartyStatisticEP42Packet_DeathTower_Statistic_Playdata_Party	DIFF
statics	_ZN16StatisticManager38SendDBDeathTowerPlayDataPartyStatisticEP14CServerHandler	DIFF
statics	_ZN17CHWSpecResearcher14SendDBMWHWSpecEP14CServerHandlerh	DIFF
statics	_ZN17CHWSpecResearcher17SendDBMWErrorLineEP14CServerHandler	DIFF
statics	_ZN17CPacketTranslater23OnFrameLagStatisticsAddEP12PacketHeader	DIFF
statics	_ZN17FrameLagCollector14SaveUsedMemoryEP14CServerHandler	DIFF
statics	_ZN17FrameLagCollector17accFrameLagStructERNS_18FrameLagDataStructEP14FrameLagStruct	DIFF
statics	_ZN17FrameLagCollector18FrameLagDataStruct4initEv	DIFF
statics	_ZN17FrameLagCollector22PushMonitoringSpecDataEP43Packet_Frame_Lag_Statistic_Result_Load_Spec	DIFF
statics	_ZN17FrameLagCollector25is_valid_statistic_packetEP30Packet_Frame_Lag_Statistic_Add	DIFF
statics	_ZN17FrameLagCollector27SaveCollectedDirectxVersionEP14CServerHandler	DIFF
