service	baseline_strict	current	drop	drop_pct
auction	1495	1020	475	31.8
bridge	1072	898	174	16.2
channel	275	45	230	83.6
community	329	329	0	0.0
coserver	240	140	100	41.7
dbmw	1376	1255	121	8.8
guild	1180	1030	150	12.7
manager	987	869	118	12.0
monitor	1069	880	189	17.7
point	1493	1018	475	31.8
relay	219	146	73	33.3
statics	424	310	114	26.9
stun	18	10	8	44.4
TOTAL	10177	7950	2227	21.9
