_Z10getMessageiPcPiPjPt	401ac0	1d2
_Z10msgProcessiPciR7Address	401584	ef
_Z11sendMessageiPcijt	40189a	225
_Z12stunProcess1Pv	4017a4	81
_Z12stunProcess2Pv	401722	81
_Z12stunProcess3Pv	401674	ad
_Z14regist_signalsv	4023d6	17e
_Z14signal_handleri	4025b2	140
_Z8openPorttj	401c92	256
_Z9write_logPKci	40215c	198
main	401f64	1f8
