service	name	status	diff_pm	same_mnemonic	call_diff_orig	call_diff_new	has_eh	src_ok	src_file	attempts	bucket	reason
dbmw	_ZN10CDBManager19GuildMasterDelegateEijjjjPc	DIFF	135	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager19QueryCharacNoByNameEPcRjPi	DIFF	120	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager19QuerySubGuildMasterEhjR27Packet_DB_Reply_Query_Guild	DIFF	86	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager19RegisterToBlackListEjjPc	DIFF	225	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager19SendGuildCoinByMailEijjjiPcS0_	DIFF	70	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager20OnSaveFatigueBatteryEP43Packet_DBMW_Fatigue_Battery_Money_Statistic	DIFF	45	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager20OnWriteWebGuildBoardEP44Packet_DB_Load_Request_Web_Guild_Board_WriteP18STGuildBoardDBInfo	DIFF	77	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager20QueryFirstLoadSpecDbEP36Packet_Frame_Lag_Statistic_Load_SpecP17CStatisticsServer	DIFF	481	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager20updateCollectItemsGmEhiij	DIFF	68	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager21AwardGuildTitleByMailEijjPcj	DIFF	72	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager21OnLoadPeriodicMessageEP28Packet_Load_Periodic_MessageP38Packet_Result_Loading_Periodic_Message	DIFF	44	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager21OnSecretShopStatisticEP28Packet_Secret_Shop_Statistic	DIFF	211	N			N	Y	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
dbmw	_ZN10CDBManager21QueryGuildMemberProxyEjjR18STGuildMemberProxy	DIFF	54	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager21QueryGuildNotiMessageEhjR27Packet_DB_Reply_Query_Guild	DIFF	24	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager21QueryTodayGuildMemberEjR31Packet_Reply_Today_Guild_Member	DIFF	185	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager21SaveGuildWarPointListEiPjS0_	DIFF	55	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager21insertServerGameEventEP31Packet_StartGameEventFromServer	DIFF	103	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager22GetVillageAttackedRankEP29Packet_DB_VillageAttackedRankRbRiS3_	DIFF	78	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager22OnSavePowerWarUserRankEP34Packet_DB_Save_Power_War_User_Rank	DIFF	136	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager22OnStatisticLoginLogoutEP34Packet_DBMW_Statistic_Login_Logout	DIFF	46	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager22OnWriteGuildMemberMemoEP33Packet_DB_Write_Guild_Member_Memo	DIFF	57	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager23OnLoadGuildCargoHistoryEjR37Packet_Guild_Load_Guild_Cargo_History	DIFF	317	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager23OnSaveLoadingTimeReportEP31Packet_DBMW_Loading_Time_Report	DIFF	18	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	3	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager23OnSavePowerWarGuildRankEP35Packet_DB_Save_Power_War_Guild_Rank	DIFF	124	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager23loadLimitNpcBuyItemInfoEP26LimitNpcBuyItemRequestInfoP25LimitNpcBuyItemResultInfo	DIFF	187	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager24ChangeGuildNotifyMessageEijPc	DIFF	49	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager24InsertFrameLagStatisticsEP42Packet_Frame_Lag_Statistic_Write_Lag_IndexP17CStatisticsServer	DIFF	622	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager24OnGoldcardEventStatisticEP35Packet_Goldcard_Event_Statistic_STD	DIFF	90	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager24OnGuildJoinByListApproveEjcjjR15STGuildJoinInfoRj	NEAR	52	Y			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager24OnManagerEventTriggerAckEP32Packet_Manager_Event_Trigger_Ack	DIFF	73	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager24OnSavePowerWarBonusPointEP36Packet_DB_Save_Power_War_Bonus_Point	DIFF	155	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager24QueryCubeStatisticCreateEP26Packet_DBMW_Cube_Statistic	DIFF	245	N			N	Y	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
dbmw	_ZN10CDBManager24QueryUpdateChannelOccNumEP27Packet_User_Count_Statistic	DIFF	7	N			N	Y	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
dbmw	_ZN10CDBManager24SaveUnchangableGuildInfoEP33Packet_UnChangable_GuildInfo_Save	DIFF	342	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager24UpdateRandomboxStatisticEP29Packet_Randombox_statistic_DB	DIFF	111	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager24insertHolePunchingResultEP38Packet_GameServer2Statisctics2DBServer	DIFF	58	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager24updateCompatibilityIndexEP31Packet_Stat_Compatibility_Index	DIFF	122	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager25OnInsertGuildCargoHistoryEP36Packet_DB_Insert_Guild_Cargo_History	DIFF	161	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager25OnSavePacketOverflowWriteEP37Packet_DBMW_Packet_Overflow_Statistic	DIFF	146	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager25OnSavePowerWarPointRewardEP37Packet_DB_Save_Power_War_Point_Reward	DIFF	64	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager25QueryGuildAllMembersProxyEjP18STGuildMemberProxyRt	DIFF	146	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager25QueryOnTimeEventIdxUpdateEP34Packet_Req_Ontime_Event_Idx_Update	DIFF	58	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager25QueryPartyStatisticCreateEP35Packet_DBMW_Dungeon_Statistic_Party	DIFF	1071	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager26OnSavePowerWarStatueRankerEP38Packet_DB_Save_Power_War_Statue_Ranker	DIFF	94	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager26onItemLimitEditionLoadDataEPK39Packet_Item_Limit_Edition_Load_Data_ReqP39Packet_Item_Limit_Edition_Load_Data_Rpy	DIFF	954	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager27QueryGuildMemberGradeByNameEhjPcRhRjS2_	DIFF	36	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager27UpdateCreateEmblemStatisticEP33Packet_Emblem_Create_Statistic_DB	DIFF	74	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager28OnSaveAssertManagerInfoWriteEP43Packet_DBMW_Assert_Manager_Info_Write_Query	DIFF	135	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager28QueryPartyJobStatisticCreateEP39Packet_DBMW_Dungeon_Statistic_Party_Job	DIFF	613	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager28QueryTowerOfDespairStatisticEP35Packet_TowerOfDespair_Statistic_STD	DIFF	159	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager28onItemLimitEditionUpdateDataEPK32Packet_Item_Limit_Edition_Update	DIFF	52	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager29QueryErrorLineStatisticCreateEP37Packet_DBMW_Save_Error_Line_Statistic	DIFF	152	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager29UpdateDisjointAvatarStatisticEP35Packet_Avater_Disjoint_Statistic_DB	DIFF	361	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager31QueryPartyCharacStatisticCreateEP42Packet_DBMW_Dungeon_Statistic_Party_Charac	DIFF	685	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager33QueryHellPartyStatisticItemCreateEP36Packet_DBMW_HellParty_Statistic_Item	DIFF	218	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager33updateNexonPinPcRoomPlayTimeEventEhjRjPcj	DIFF	156	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager35QueryDeathTowerValueStatisticCreateEP38Packet_DBMW_DeathTower_Statistic_Value	DIFF	224	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager41QueryDeathTowerPlayDataJobStatisticCreateEP45Packet_DBMW_DeathTower_Statistic_Playdata_Job	DIFF	312	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager43QueryDeathTowerPlayDataPartyStatisticCreateEP47Packet_DBMW_DeathTower_Statistic_Playdata_Party	DIFF	484	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager8AddBuddyEjPcR13STBuddyDBInfoRi	DIFF	125	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN17CPacketTranslater35OnChangeUnconnectedGuildMemberGradeEP12PacketHeader	DIFF	195	N			N	Y	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
