status	name	orig_addr	orig_size	new_addr	new_size	md_file
DIFF	ll2str	0x811d8b0	0x1e0	0x80cfc10	0x1e0	
NEAR	load_defaults	0x81039e0	0x42	0x80c4fd0	0x42	
NEAR	longlong10_to_str	0x811da90	0x18b	0x80cfdf0	0x18b	
DIFF	lshift	0x8117540	0x1b0	0x80c5bb0	0xe8	
NEAR	make_password_from_salt	0x80d1a50	0x38	0x80d78a0	0x38	
NEAR	make_password_from_salt_323	0x80d1df0	0x3d	0x80d7c40	0x3d	
NEAR	make_scrambled_password	0x80d1cc0	0xb6	0x80d7b10	0xb6	
NEAR	make_scrambled_password_323	0x80d1e30	0x62	0x80d7c80	0x62	
NEAR	make_type	0x8100000	0x58	0x80d8980	0x58	
NEAR	memdup_root	0x8105070	0x54	0x80d1350	0x54	
DIFF	multadd	0x8117ad0	0x1b0	0x80c59a0	0x10c	
NEAR	multi_alloc_root	0x8105170	0x79	0x80d1450	0x79	
DIFF	my_TIME_to_str	0x80cfb00	0x8e	0x80d57c0	0xa6	
NEAR	my_atof	0x811a440	0x3a	0x80c94c0	0x3a	
DIFF	my_casedn_str_utf8mb3	0x81143f0	0x189	0x80c2510	0xed	
DIFF	my_casedn_str_utf8mb4	0x8115640	0x242	0x80c1d40	0xa9	
DIFF	my_casedn_ucs2	0x8110ad0	0x9b	0x80e1df0	0x93	
DIFF	my_casedn_utf16	0x8112b10	0x196	0x80e0a10	0xa4	
DIFF	my_casedn_utf8mb3	0x8115bf0	0x1ed	0x80c2450	0xbd	
DIFF	my_casedn_utf8mb4	0x8115130	0x160	0x80c1c70	0xc7	
DIFF	my_caseup_str_utf8mb3	0x8114fa0	0x189	0x80c2360	0xed	
DIFF	my_caseup_str_utf8mb4	0x81153f0	0x242	0x80c1bc0	0xa8	
DIFF	my_caseup_ucs2	0x8110930	0x9a	0x80e1c50	0x92	
DIFF	my_caseup_utf16	0x81127f0	0x18e	0x80e0830	0xa3	
DIFF	my_caseup_utf32	0x810fcf0	0xdf	0x80e1010	0xdf	
DIFF	my_caseup_utf8mb3	0x8115890	0x1ed	0x80c2180	0xbc	
DIFF	my_caseup_utf8mb4	0x8115290	0x160	0x80c1960	0xc6	
NEAR	my_charset_same	0x81011e0	0x3e	0x80dacd0	0x3e	
NEAR	my_close	0x8107360	0x10e	0x80d3220	0x10e	
DIFF	my_coll_init_simple	0x810b2d0	0x4a	0x80bfef0	0x4a	
NEAR	my_coll_lexem_print_error	0x810d100	0x81	0x80dea70	0x81	
DIFF	my_connect	0x80c6460	0x15d	0x80bc710	0x15d	
NEAR	my_date_to_str	0x80cfa20	0x55	0x80d56e0	0x55	
NEAR	my_datetime_to_str	0x80cf9b0	0x63	0x80d5670	0x63	
DIFF	my_dir	0x8106a50	0x3e1	0x80d2990	0x364	
NEAR	my_dirend	0x8106a00	0x4e	0x80d2940	0x4e	
DIFF	my_end	0x81064c0	0x1fc	0x80d2400	0x1fc	
DIFF	my_error	0x81059c0	0xbd	0x80d1900	0xbd	
DIFF	my_error_register	0x8105830	0xac	0x80d1770	0xac	
NEAR	my_error_unregister	0x81057b0	0x72	0x80d16f0	0x72	
NEAR	my_error_unregister_all	0x8105760	0x4d	0x80d16a0	0x4d	
DIFF	my_fclose	0x8105bf0	0xee	0x80d1b30	0xee	
DIFF	my_fcvt	0x811ca50	0x473	0x80c74e0	0x223	
NEAR	my_fdopen	0x8105a80	0x16f	0x80d19c0	0x16f	
NEAR	my_filename	0x813c2f0	0x49	0x80e5bb0	0x49	
NEAR	my_fileno	0x8105ed0	0x23	0x80d1e20	0x23	
NEAR	my_fill_8bit	0x810c210	0x31	0x80c0ce0	0x31	
DIFF	my_fopen	0x8105ce0	0x1ef	0x80d1c20	0x1f2	
DIFF	my_fread	0x81060d0	0x163	0x80d2010	0x163	
NEAR	my_fseek	0x8105f30	0x4d	0x80d1e80	0x4d	
NEAR	my_fstat	0x8106940	0x32	0x80d2880	0x32	
NEAR	my_ftell	0x8105f00	0x23	0x80d1e50	0x23	
DIFF	my_fwrite	0x8105f80	0x145	0x80d1ed0	0x135	
DIFF	my_gcvt	0x811ced0	0x7bf	0x80c7710	0x7ac	
DIFF	my_getsystime	0x813c420	0x51	0x80e5d50	0x74	
NEAR	my_getwd	0x81063e0	0xd7	0x80d2320	0xd7	
DIFF	my_hash_sort_any_uca	0x810e190	0xb6	0x80de330	0x4c	
DIFF	my_hash_sort_latin1_de	0x81099d0	0x19b	0x80be690	0x1b4	
DIFF	my_hash_sort_simple	0x810a020	0x13e	0x80bed00	0x141	
DIFF	my_hash_sort_ucs2	0x81109d0	0xfc	0x80e1cf0	0xff	
DIFF	my_hash_sort_ucs2_bin	0x8111050	0x6e	0x80e2380	0x6e	
DIFF	my_hash_sort_ucs2_uca	0x810cd30	0xb6	0x80de440	0x4c	
DIFF	my_hash_sort_utf16	0x8112980	0x18e	0x80e08e0	0x12f	
DIFF	my_hash_sort_utf16_bin	0x810f950	0x6e	0x80e0c70	0x6e	
DIFF	my_hash_sort_utf8mb3	0x8115a80	0x170	0x80c2240	0x11c	
DIFF	my_hash_sort_utf8mb4	0x8113fa0	0x184	0x80c1a30	0x18c	
NEAR	my_init	0x8106740	0x135	0x80d2680	0x135	
NEAR	my_init_time	0x80cfed0	0x8b	0x80d5b20	0x8b	
DIFF	my_instr_mb	0x81425f0	0x127	0x80dc660	0x127	
DIFF	my_instr_simple	0x810b130	0x172	0x80bfd50	0x172	
NEAR	my_is_symlink	0x8107ca0	0x4d	0x80d3c40	0x4d	
DIFF	my_ismbchar_utf8mb3	0x8116830	0x92	0x80c2680	0x32	
NEAR	my_l10tostr_mb2_or_mb4	0x810ee00	0x102	0x80dfe50	0x102	
DIFF	my_like_range_big5	0x813c6a0	0x35e	0x80e77a0	0x218	
DIFF	my_like_range_cp932	0x813dd50	0x20e	0x80e8890	0x1a1	
DIFF	my_like_range_czech	0x813ea10	0x1d9	0x80e95d0	0x12f	
DIFF	my_like_range_gbk	0x8141950	0x343	0x80ec460	0x200	
DIFF	my_like_range_mb	0x81432e0	0x541	0x80dd350	0x372	
DIFF	my_like_range_simple	0x810adf0	0x266	0x80bfad0	0x1a3	
DIFF	my_like_range_sjis	0x81441c0	0x313	0x80ecd70	0x1e9	
DIFF	my_like_range_ucs2	0x81110c0	0x3ba	0x80e23f0	0x3c2	
DIFF	my_like_range_utf16	0x810f9c0	0x2b0	0x80e0ce0	0x2b0	
DIFF	my_like_range_utf32	0x8112440	0x3ac	0x80e2c50	0x362	
DIFF	my_like_range_win1250ch	0x8147870	0x1ab	0x80effc0	0x114	
NEAR	my_ll10tostr_mb2_or_mb4	0x810ef10	0x1ad	0x80dff60	0x1ad	
DIFF	my_load_defaults	0x8103550	0x484	0x80c4b40	0x484	
NEAR	my_load_path	0x813b550	0x141	0x80e4db0	0x141	
NEAR	my_long10_to_str_8bit	0x810c3e0	0xde	0x80c0eb0	0xde	
DIFF	my_longlong10_to_str_8bit	0x810c250	0x18e	0x80c0d20	0x181	
NEAR	my_malloc	0x8106e70	0xc8	0x80d2d30	0xc8	
DIFF	my_mb_ctype_mb	0x81429b0	0xa1	0x80dca20	0xa7	
NEAR	my_mb_wc_big5	0x813cc00	0xa9	0x80e7bc0	0xa9	
DIFF	my_mb_wc_cp932	0x813e0f0	0x158	0x80e8ce0	0x7c	
NEAR	my_mb_wc_euc_jp	0x81452d0	0x1175	0x80eda80	0x1175	
NEAR	my_mb_wc_euc_kr	0x81411e0	0xa9	0x80e9bb0	0xa9	
DIFF	my_mb_wc_filename	0x8114630	0x166	0x80c26f0	0x166	
NEAR	my_mb_wc_gb2312	0x8141540	0xc9	0x80ec050	0xc9	
NEAR	my_mb_wc_gbk	0x8141e90	0x91	0x80ec850	0x91	
NEAR	my_mb_wc_latin1	0x8109660	0x44	0x80be320	0x44	
