status	name	orig_addr	orig_size	new_addr	new_size
MISSING	my_strnxfrmlen_utf8mb3	0x8110ae0	0x17		
MISSING	my_strnxfrmlen_utf8mb4	0x8110690	0xf		
MISSING	my_sync_dir	0x8104360	0x7		
MISSING	my_sync_dir_by_file	0x8104370	0x7		
MISSING	my_threadattr_global_init	0x8104470	0x5		
MISSING	my_ucs2_uni	0x810cdd0	0x2c		
MISSING	my_uni_ucs2	0x810ce00	0x29		
MISSING	my_uni_utf32	0x810c1b0	0x39		
MISSING	my_utf16_uni	0x810bb80	0xad		
MISSING	my_utf32_uni	0x810c170	0x3e		
MISSING	my_wc_mb_8bit	0x81064b0	0x68		
MISSING	my_wc_mb_bin	0x8105530	0x23		
MISSING	my_well_formed_len_8bit	0x8107610	0x1c		
MISSING	my_well_formed_len_big5	0x8133b20	0x83		
MISSING	my_well_formed_len_eucjpms	0x8135dd0	0xa1		
MISSING	my_well_formed_len_euckr	0x8138100	0x93		
MISSING	my_well_formed_len_gb2312	0x8138480	0x68		
MISSING	my_well_formed_len_mb	0x81393e0	0x7c		
MISSING	my_well_formed_len_ucs2	0x810d330	0x21		
MISSING	my_well_formed_len_ujis	0x813c030	0xa1		
MISSING	my_well_formed_len_utf16	0x810bdd0	0x74		
MISSING	my_well_formed_len_utf32	0x810cb50	0x7e		
MISSING	my_xml_error_pos	0x811b140	0x29		
MISSING	my_xml_error_string	0x811b130	0xb		
MISSING	my_xml_parser_create	0x811b1b0	0x15		
MISSING	my_xml_parser_free	0x811b0a0	0x5		
MISSING	my_xml_set_enter_handler	0x811b0d0	0x11		
MISSING	my_xml_set_leave_handler	0x811b0f0	0x11		
MISSING	my_xml_set_user_data	0x811b110	0x11		
MISSING	my_xml_set_value_handler	0x811b0b0	0x11		
MISSING	net_field_length_ll	0x80cdab0	0x73		
MISSING	net_store_length	0x80cdb30	0x9d		
MISSING	pcmp	0x81077b0	0x1b		
MISSING	pop_dynamic	0x80fca10	0x1f		
MISSING	proc_info_dummy	0x81040d0	0x7		
MISSING	pthread_dummy	0x8133370	0x8		
MISSING	set_prealloc_root	0x81012c0	0x56		
MISSING	set_zero_time	0x80cb4d0	0x1b		
MISSING	skip_result_fixed	0x80c5350	0x10		
MISSING	stmt_read_row_buffered	0x80c5140	0x2e		
MISSING	stmt_read_row_no_data	0x80c5170	0xa		
MISSING	store_param_double	0x80c5110	0x21		
MISSING	store_param_float	0x80c50f0	0x19		
MISSING	store_param_int32	0x80c5090	0x19		
MISSING	store_param_int64	0x80c50b0	0x32		
MISSING	store_param_short	0x80c5070	0x1b		
MISSING	store_param_tinyint	0x80c5050	0x1c		
MISSING	strcend	0x811af20	0x20		
MISSING	strend	0x811af40	0x14		
MISSING	strlength	0x81003b0	0x42		
MISSING	strmake	0x811af60	0x37		
MISSING	strnmov	0x811afa0	0x30		
MISSING	strxmov	0x811afd0	0x3c		
MISSING	vio_description	0x811c270	0xd		
MISSING	vio_fd	0x811c290	0xa		
MISSING	vio_is_blocking	0x811c250	0x14		
MISSING	vio_ssl_blocking	0x811c9a0	0x14		
MISSING	vio_type	0x811c280	0xe		
MISSING	year_2000_handling	0x80caf40	0x1c		
