status	name	orig_addr	orig_size	new_addr	new_size	md_file
MISSING	int2str	0x8119c40	0x12b			
MISSING	intern_filename	0x81007b0	0x74			
MISSING	is_prefix	0x8119d70	0x39			
MISSING	ismbchar_big5	0x8133870	0x3c			
MISSING	ismbchar_cp932	0x81346c0	0x45			
MISSING	ismbchar_euc_kr	0x8137e20	0x4f			
MISSING	ismbchar_eucjpms	0x8135ce0	0xaf			
MISSING	ismbchar_gb2312	0x81381a0	0x34			
MISSING	ismbchar_gbk	0x8138b10	0x3c			
MISSING	ismbchar_sjis	0x813aa40	0x45			
MISSING	ismbchar_ujis	0x813bf40	0xaf			
MISSING	lex2str	0x811b010	0x90			
MISSING	list_add	0x80ffff0	0x34			
MISSING	list_cons	0x81000f0	0x49			
MISSING	list_delete	0x8100030	0x2f			
MISSING	list_free	0x8100140	0x66			
MISSING	list_length	0x8100090	0x1c			
MISSING	list_reverse	0x8100060	0x24			
MISSING	list_walk	0x81000b0	0x37			
MISSING	ll2str	0x8119db0	0x1e0			
MISSING	load_defaults	0x80ffee0	0x42			
MISSING	longlong10_to_str	0x8119f90	0x18b			
MISSING	lshift	0x8113a40	0x1b0			
MISSING	make_password_from_salt	0x80cdf50	0x38			
MISSING	make_password_from_salt_323	0x80ce2f0	0x3d			
MISSING	make_scrambled_password	0x80ce1c0	0xb6			
MISSING	make_scrambled_password_323	0x80ce330	0x62			
MISSING	make_type	0x80fc500	0x58			
MISSING	mbcharlen_big5	0x81338b0	0x14			
MISSING	mbcharlen_cp932	0x8134710	0x27			
MISSING	mbcharlen_euc_kr	0x8137e70	0x14			
MISSING	mbcharlen_eucjpms	0x8135d90	0x37			
MISSING	mbcharlen_gb2312	0x81381e0	0x14			
MISSING	mbcharlen_gbk	0x8138b50	0x14			
MISSING	mbcharlen_sjis	0x813aa90	0x27			
MISSING	mbcharlen_ujis	0x813bff0	0x37			
MISSING	memdup_root	0x8101570	0x54			
MISSING	multadd	0x8113fd0	0x1b0			
MISSING	multi_alloc_root	0x8101670	0x79			
MISSING	my_TIME_to_str	0x80cc000	0x8e			
MISSING	my_atof	0x8116940	0x3a			
MISSING	my_case_bin	0x81054f0	0x8			
MISSING	my_case_str_bin	0x81054e0	0x7			
MISSING	my_casedn_8bit	0x81063d0	0x2c			
MISSING	my_casedn_mb	0x81391c0	0x5e			
MISSING	my_casedn_str_8bit	0x8106360	0x3a			
MISSING	my_casedn_str_mb	0x81390f0	0x61			
MISSING	my_casedn_str_mb2_or_mb4	0x810a810	0x7			
MISSING	my_casedn_str_utf8mb3	0x81108f0	0x189			
MISSING	my_casedn_str_utf8mb4	0x8111b40	0x242			
MISSING	my_casedn_ucs2	0x810cfd0	0x9b			
MISSING	my_casedn_utf16	0x810f010	0x196			
MISSING	my_casedn_utf32	0x810c480	0xcf			
MISSING	my_casedn_utf8mb3	0x81120f0	0x1ed			
MISSING	my_casedn_utf8mb4	0x8111630	0x160			
MISSING	my_caseup_8bit	0x81063a0	0x2c			
MISSING	my_caseup_mb	0x8139160	0x5e			
MISSING	my_caseup_str_8bit	0x8106320	0x3a			
MISSING	my_caseup_str_mb	0x8139080	0x61			
MISSING	my_caseup_str_mb2_or_mb4	0x810a800	0x7			
MISSING	my_caseup_str_utf8mb3	0x81114a0	0x189			
MISSING	my_caseup_str_utf8mb4	0x81118f0	0x242			
MISSING	my_caseup_ucs2	0x810ce30	0x9a			
MISSING	my_caseup_utf16	0x810ecf0	0x18e			
MISSING	my_caseup_utf32	0x810c1f0	0xdf			
MISSING	my_caseup_utf8mb3	0x8111d90	0x1ed			
MISSING	my_caseup_utf8mb4	0x8111790	0x160			
MISSING	my_charpos_8bit	0x8107600	0x8			
MISSING	my_charpos_mb	0x8139360	0x7d			
MISSING	my_charpos_ucs2	0x810d310	0x1b			
MISSING	my_charpos_utf16	0x810bd60	0x64			
MISSING	my_charpos_utf32	0x810cb30	0x19			
MISSING	my_charset_is_8bit_pure_ascii	0x8113110	0x37			
MISSING	my_charset_is_ascii_based	0x81130c0	0x47			
MISSING	my_charset_is_ascii_compatible	0x8113150	0x37			
MISSING	my_charset_repertoire	0x81130a0	0x1b			
MISSING	my_charset_same	0x80fd6e0	0x3e			
MISSING	my_close	0x8103860	0x10e			
MISSING	my_coll_init_8bit_bin	0x81053e0	0x10			
MISSING	my_coll_init_simple	0x81077d0	0x4a			
MISSING	my_coll_init_uca	0x810a1a0	0x16			
MISSING	my_coll_lexem_print_error	0x8109600	0x81			
MISSING	my_connect	0x80c2950	0x15d			
MISSING	my_cset_init_8bit	0x81086b0	0x1e			
MISSING	my_date_to_str	0x80cbf20	0x55			
MISSING	my_datetime_to_str	0x80cbeb0	0x63			
MISSING	my_dir	0x8102f50	0x3e1			
MISSING	my_dirend	0x8102f00	0x4e			
MISSING	my_end	0x81029c0	0x1fc			
MISSING	my_error	0x8101ec0	0xbd			
MISSING	my_error_register	0x8101d30	0xac			
MISSING	my_error_unregister	0x8101cb0	0x72			
MISSING	my_error_unregister_all	0x8101c60	0x4d			
MISSING	my_fclose	0x81020f0	0xee			
MISSING	my_fcvt	0x8118f50	0x473			
MISSING	my_fdopen	0x8101f80	0x16f			
MISSING	my_filename	0x8133160	0x49			
MISSING	my_fileno	0x81023d0	0x23			
MISSING	my_fill_8bit	0x8108710	0x31			
MISSING	my_fill_mb2	0x810bb00	0x35			
MISSING	my_fill_utf32	0x810dbc0	0x52			
MISSING	my_fopen	0x81021e0	0x1ef			
MISSING	my_fread	0x81025d0	0x163			
MISSING	my_fseek	0x8102430	0x4d			
MISSING	my_fstat	0x8102e40	0x32			
MISSING	my_ftell	0x8102400	0x23			
MISSING	my_fwrite	0x8102480	0x145			
MISSING	my_gcvt	0x81193d0	0x7bf			
MISSING	my_getsystime	0x8133290	0x51			
MISSING	my_getwd	0x81028e0	0xd7			
MISSING	my_hash_sort_8bit_bin	0x8105560	0xe6			
MISSING	my_hash_sort_any_uca	0x810a690	0xb6			
MISSING	my_hash_sort_bin	0x8105650	0x4e			
MISSING	my_hash_sort_latin1_de	0x8105ed0	0x19b			
MISSING	my_hash_sort_mb_bin	0x8139670	0xe6			
MISSING	my_hash_sort_simple	0x8106520	0x13e			
MISSING	my_hash_sort_ucs2	0x810ced0	0xfc			
MISSING	my_hash_sort_ucs2_bin	0x810d550	0x6e			
MISSING	my_hash_sort_ucs2_uca	0x8109230	0xb6			
MISSING	my_hash_sort_utf16	0x810ee80	0x18e			
MISSING	my_hash_sort_utf16_bin	0x810be50	0x6e			
MISSING	my_hash_sort_utf32	0x810c2d0	0x1a6			
MISSING	my_hash_sort_utf8mb3	0x8111f80	0x170			
MISSING	my_hash_sort_utf8mb4	0x81104a0	0x184			
MISSING	my_init	0x8102c40	0x135			
MISSING	my_init_time	0x80cc3d0	0x8b			
MISSING	my_instr_bin	0x8105840	0x132			
MISSING	my_instr_mb	0x8139460	0x127			
MISSING	my_instr_simple	0x8107630	0x172			
MISSING	my_is_symlink	0x81041a0	0x4d			
MISSING	my_ismbchar_ucs2	0x810d2e0	0xa			
MISSING	my_ismbchar_utf16	0x810bce0	0x54			
MISSING	my_ismbchar_utf32	0x810c560	0xa			
MISSING	my_ismbchar_utf8mb3	0x8112d30	0x92			
MISSING	my_ismbchar_utf8mb4	0x81106a0	0x32			
