service	name	status	diff_pm	same_mnemonic	call_diff_orig	call_diff_new	has_eh	src_ok	src_file	attempts	bucket	reason
guild	_ZN12CUserManager10DeleteUserEj	DIFF	64	N			N	Y	source/DNFServer/GameServer/Guild/DNFUserManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
guild	_ZN12CUserManager17DeleteUser_CharNoEj	NEAR	8	Y			N	Y	source/DNFServer/GameServer/Guild/DNFUserManager.cpp	5	CODEGEN_TAIL	same mnemonic sequence; operand/codegen tail
guild	_ZN12CUserManager17InsertUser_CharNoEjP5CUser	DIFF	38	N			N	Y	source/DNFServer/GameServer/Guild/DNFUserManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
guild	_ZN12CUserManager19InsertUser_CharNameEPcP5CUser	DIFF	34	N			N	Y	source/DNFServer/GameServer/Guild/DNFUserManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
guild	_ZN12CUserManager27DeleteUsersOnGameServerDownEP11CGameServer	DIFF	43	N			N	Y	source/DNFServer/GameServer/Guild/DNFUserManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
guild	_ZN12CUserManager30DeleteUsersOnTcpGameServerDownEP14CTcpGameServer	DIFF	43	N			N	Y	source/DNFServer/GameServer/Guild/DNFUserManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
