service	name	status	diff_pm	same_mnemonic	call_diff_orig	call_diff_new	has_eh	src_ok	src_file	attempts	bucket	reason
guild	_ZN11CUdpHandler16InitServerSocketEi	DIFF	61	N			N	Y	source/DNFServer/GameServer/Guild/DNFUdpHandler.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
guild	_ZNK11CUdpHandler12SendToServerEPcitPKc	DIFF	2	Y			N	Y	source/DNFServer/GameServer/Guild/DNFUdpHandler.cpp	4	CODEGEN_TAIL	same mnemonic sequence; operand/codegen tail
