demangled	mangled	status	orig_size	tu
CDBManager::QueryP2PStatistics(Packet_P2P_Statistics*)	_ZN10CDBManager18QueryP2PStatisticsEP21Packet_P2P_Statistics	DIFF	486	DBManager.cpp.o
CDBManager::OnGoldcardEventStatistic(Packet_Goldcard_Event_Statistic_STD*)	_ZN10CDBManager24OnGoldcardEventStatisticEP35Packet_Goldcard_Event_Statistic_STD	DIFF	482	DBManager.cpp.o
CDBManager::QueryOnTimeEventIdxUpdate(Packet_Req_Ontime_Event_Idx_Update*)	_ZN10CDBManager25QueryOnTimeEventIdxUpdateEP34Packet_Req_Ontime_Event_Idx_Update	DIFF	480	DBManager.cpp.o
CDBManager::OnSavePowerWarUserRank(Packet_DB_Save_Power_War_User_Rank*)	_ZN10CDBManager22OnSavePowerWarUserRankEP34Packet_DB_Save_Power_War_User_Rank	DIFF	479	DBManager.cpp.o
CDBManager::ChangeGuildNotifyMessage(int, unsigned int, char*)	_ZN10CDBManager24ChangeGuildNotifyMessageEijPc	DIFF	477	DBManager.cpp.o
CDBManager::SavePowerWarPoint(Packet_DB_Save_Power_War_Point*)	_ZN10CDBManager17SavePowerWarPointEP30Packet_DB_Save_Power_War_Point	DIFF	451	DBManager.cpp.o
CDBManager::OnMemberDeleteAsCharDelete(unsigned int)	_ZN10CDBManager26OnMemberDeleteAsCharDeleteEj	DIFF	451	DBManager.cpp.o
CDBManager::QueryUpdateChannelOccNum(Packet_User_Count_Statistic*)	_ZN10CDBManager24QueryUpdateChannelOccNumEP27Packet_User_Count_Statistic	DIFF	446	DBManager.cpp.o
CDBManager::OnSavePowerWarGuildRank(Packet_DB_Save_Power_War_Guild_Rank*)	_ZN10CDBManager23OnSavePowerWarGuildRankEP35Packet_DB_Save_Power_War_Guild_Rank	DIFF	444	DBManager.cpp.o
CDBManager::QueryGuildBooting(Packet_DB_Query_Reply_On_Guild_Booting&, int)	_ZN10CDBManager17QueryGuildBootingER38Packet_DB_Query_Reply_On_Guild_Bootingi	DIFF	435	DBManager.cpp.o
