status	name	orig_addr	orig_size	new_addr	new_size	md_file
NEAR	_ZL16allocStackBufferjPPhPi	0x818c4c0	0x272	0x80f1977	0x272
DIFF	_ZL19freeAllStackBuffersv	0x818c81d	0x106	0x80f1cd4	0x104
DIFF	_ZN10CAppConfig11Parse_TableEPci	0x806860c	0x142a	0x806a8e2	0x1424
NEAR	_ZN10CDBManager10InsertMailEjPcS0_jjii	0x80826ae	0x192	0x804f370	0x192
NEAR	_ZN10CDBManager10QueryGuildEhjR27Packet_DB_Reply_Query_Guild	0x807128a	0x537	0x805bb8e	0x537
DIFF	_ZN10CDBManager11GuildSecedeEP30Packet_DB_Request_Guild_SecedeRjS2_S2_	0x80787b0	0xdbb	0x805991c	0xdbd
DIFF	_ZN10CDBManager11QueryMemberEjR28Packet_DB_Reply_Query_Member	0x8073048	0xb7a	0x8053890	0xb8a
DIFF	_ZN10CDBManager13SaveGuildInfoEhjR17STGuildDBInfoOnly	0x807221e	0x172	0x805786c	0x16e
DIFF	_ZN10CDBManager14QueryBuddyInfoEjP13STBuddyDBInfoRh	0x8076c82	0x2c1	0x8063374	0x274
DIFF	_ZN10CDBManager14SaveGuildSkillEhjR17STGuildDBInfoOnly	0x8072390	0x198	0x804e78c	0x190
NEAR	_ZN10CDBManager15OnLoadGuildAgitEP25Packet_DB_Load_Guild_AgitR28Packet_Guild_Load_Guild_Agit	0x807fd6c	0x176	0x804ddda	0x176
DIFF	_ZN10CDBManager15QueryGuildSkillEhjR27Packet_DB_Reply_Query_Guild	0x8077142	0x20d	0x8064b8a	0x20e
DIFF	_ZN10CDBManager15SaveGuildMemberEhjR18STGuildMemerDBInfojh	0x8072004	0x219	0x804e91c	0x20a
DIFF	_ZN10CDBManager15SendGuildLetterEijPc	0x80746c2	0x2f9	0x804d4fa	0x31c
DIFF	_ZN10CDBManager16OnLoadGuildBoardEiRiP18STGuildBoardDBInfo	0x808478c	0x2fd	0x805efca	0x2c4
DIFF	_ZN10CDBManager16QueryGuildCreateEP32Packet_DBMW_Request_Guild_CreateRjS2_	0x80797d2	0x99f	0x805a6da	0x9be
DIFF	_ZN10CDBManager16SaveMemberInsertEjjh	0x8072890	0x647	0x805520a	0x653
DIFF	_ZN10CDBManager17OnWriteGuildBoardEP40Packet_DB_Load_Request_Guild_Board_WriteP18STGuildBoardDBInfo	0x8084a8a	0x307	0x804d816	0x30b
DIFF	_ZN10CDBManager17QueryHWspecCreateEP38Packet_DBMW_Save_Client_Spec_Statistic	0x807a172	0x5d8	0x805e2cc	0x5f0
DIFF	_ZN10CDBManager17QueryReloadSpecDbEP38Packet_Frame_Lag_Statistic_Reload_SpecP17CStatisticsServer	0x807b8f8	0x6a4	0x805cd18	0x68b
NEAR	_ZN10CDBManager18GetCoinEventPerDayEiiRiS0_	0x8082b58	0x28a	0x80635e8	0x28a
DIFF	_ZN10CDBManager18selectCollectItemsEhRiS0_RjRh	0x8086c8a	0x390	0x805f28e	0x34c
DIFF	_ZN10CDBManager18updateCollectItemsEhijh	0x808701a	0x1a7	0x8051b2c	0x1a0
DIFF	_ZN10CDBManager19GuildMasterDelegateEijjjjPc	0x807956c	0x266	0x804d28c	0x26e
DIFF	_ZN10CDBManager19QueryCharacNoByNameEPcRjPi	0x80764f6	0x281	0x8063872	0x283
DIFF	_ZN10CDBManager19QuerySubGuildMasterEhjR27Packet_DB_Reply_Query_Guild	0x8077654	0x1b3	0x8062ea2	0x199
DIFF	_ZN10CDBManager19RegisterToBlackListEjjPc	0x80758d2	0x5fb	0x805934a	0x5d1
DIFF	_ZN10CDBManager19SendGuildCoinByMailEijjjiPcS0_	0x8074cb2	0x2e1	0x8062766	0x2d4
DIFF	_ZN10CDBManager20OnSaveFatigueBatteryEP43Packet_DBMW_Fatigue_Battery_Money_Statistic	0x8080bda	0x127	0x8052982	0x114
DIFF	_ZN10CDBManager20QueryFirstLoadSpecDbEP36Packet_Frame_Lag_Statistic_Load_SpecP17CStatisticsServer	0x807b35a	0x59e	0x805d9d6	0x593
DIFF	_ZN10CDBManager20updateCollectItemsGmEhiij	0x80871c2	0x11b	0x8051ccc	0x114
DIFF	_ZN10CDBManager21AwardGuildTitleByMailEijjPcj	0x80749bc	0x2f6	0x8059054	0x2f5
DIFF	_ZN10CDBManager21OnLoadPeriodicMessageEP28Packet_Load_Periodic_MessageP38Packet_Result_Loading_Periodic_Message	0x80844f6	0x296	0x804f502	0x2a7
DIFF	_ZN10CDBManager21OnSecretShopStatisticEP28Packet_Secret_Shop_Statistic	0x8083f2a	0x2a6	0x8063d96	0x28c
DIFF	_ZN10CDBManager21QueryGuildMemberProxyEjjR18STGuildMemberProxy	0x8071da8	0x25b	0x805441a	0x223
DIFF	_ZN10CDBManager21QueryTodayGuildMemberEjR31Packet_Reply_Today_Guild_Member	0x808504a	0x38a	0x805df6a	0x361
DIFF	_ZN10CDBManager21SaveGuildWarPointListEiPjS0_	0x80756c2	0x145	0x804eb26	0x137
DIFF	_ZN10CDBManager21insertServerGameEventEP31Packet_StartGameEventFromServer	0x8087670	0x14f	0x804ff3c	0x153
NEAR	_ZN10CDBManager22OnSavePowerWarUserRankEP34Packet_DB_Save_Power_War_User_Rank	0x807f418	0x1df	0x804f9c4	0x1df
DIFF	_ZN10CDBManager22OnStatisticLoginLogoutEP34Packet_DBMW_Statistic_Login_Logout	0x80835d6	0x12e	0x805ca58	0x124
DIFF	_ZN10CDBManager22OnWriteGuildMemberMemoEP33Packet_DB_Write_Guild_Member_Memo	0x8080570	0x16b	0x8052458	0x16a
DIFF	_ZN10CDBManager23OnLoadGuildCargoHistoryEjR37Packet_Guild_Load_Guild_Cargo_History	0x8080e48	0x384	0x805e8bc	0x383
NEAR	_ZN10CDBManager23OnSavePowerWarGuildRankEP35Packet_DB_Save_Power_War_Guild_Rank	0x807f5f8	0x1bc	0x804fba4	0x1bc
DIFF	_ZN10CDBManager23loadLimitNpcBuyItemInfoEP26LimitNpcBuyItemRequestInfoP25LimitNpcBuyItemResultInfo	0x8086350	0x384	0x8064022	0x359
DIFF	_ZN10CDBManager24ChangeGuildNotifyMessageEijPc	0x8077350	0x1dd	0x8064896	0x1ce
DIFF	_ZN10CDBManager24InsertFrameLagStatisticsEP42Packet_Frame_Lag_Statistic_Write_Lag_IndexP17CStatisticsServer	0x807bf9c	0x654	0x805d3a4	0x631
DIFF	_ZN10CDBManager24OnGoldcardEventStatisticEP35Packet_Goldcard_Event_Statistic_STD	0x8084314	0x1e2	0x80507fc	0x1df
