demangled	mangled	status	orig_size	tu
CPacketTranslater::OnWebRequestARSInfo(PacketHeader*)	_ZN17CPacketTranslater19OnWebRequestARSInfoEP12PacketHeader	DIFF	0x264	DNFPacketTranslater.cpp
CPacketTranslater::onLoadCleanPadPoint(PacketHeader*)	_ZN17CPacketTranslater19onLoadCleanPadPointEP12PacketHeader	DIFF	0x142	DNFPacketTranslater.cpp
CPacketTranslater::onLoadPunishUserReq(PacketHeader*)	_ZN17CPacketTranslater19onLoadPunishUserReqEP12PacketHeader	DIFF	0x142	DNFPacketTranslater.cpp
CPacketTranslater::onReloadCountryCode(PacketHeader*)	_ZN17CPacketTranslater19onReloadCountryCodeEP12PacketHeader	DIFF	0x13a	DNFPacketTranslater.cpp
CPacketTranslater::OnExchangeServerInfo(PacketHeader*)	_ZN17CPacketTranslater20OnExchangeServerInfoEP12PacketHeader	DIFF	0x1f1	DNFPacketTranslater.cpp
CPacketTranslater::OnRequestMemberEnter(PacketHeader*)	_ZN17CPacketTranslater20OnRequestMemberEnterEP12PacketHeader	DIFF	0x76a	DNFPacketTranslater.cpp
CPacketTranslater::OnMonitorPunishCancel(PacketHeader*)	_ZN17CPacketTranslater21OnMonitorPunishCancelEP12PacketHeader	DIFF	0x3bf	DNFPacketTranslater.cpp
CPacketTranslater::OnNoticeMemberChatMsg(PacketHeader*)	_ZN17CPacketTranslater21OnNoticeMemberChatMsgEP12PacketHeader	DIFF	0x389	DNFPacketTranslater.cpp
CPacketTranslater::OnPvPChannelUserCount(PacketHeader*)	_ZN17CPacketTranslater21OnPvPChannelUserCountEP12PacketHeader	DIFF	0x17d	DNFPacketTranslater.cpp
CPacketTranslater::OnRegisterToBlackList(PacketHeader*)	_ZN17CPacketTranslater21OnRegisterToBlackListEP12PacketHeader	DIFF	0x46a	DNFPacketTranslater.cpp
CPacketTranslater::OnUpdateMiniCraneSeed(PacketHeader*)	_ZN17CPacketTranslater21OnUpdateMiniCraneSeedEP12PacketHeader	DIFF	0x31b	DNFPacketTranslater.cpp
CPacketTranslater::OnUserRepelByCharName(PacketHeader*)	_ZN17CPacketTranslater21OnUserRepelByCharNameEP12PacketHeader	DIFF	0x300	DNFPacketTranslater.cpp
CPacketTranslater::SendColletItemsReward(unsigned int, int, char const*, int, TimeGateRewardType::T)	_ZN17CPacketTranslater21SendColletItemsRewardEjiPKciN18TimeGateRewardType1TE	NEAR	0xe0	DNFPacketTranslater.cpp
CPacketTranslater::OnPcRoomPlayTimeReward(PacketHeader*)	_ZN17CPacketTranslater22OnPcRoomPlayTimeRewardEP12PacketHeader	NEAR	0x1df	DNFPacketTranslater.cpp
CPacketTranslater::OnRegisterEventUserIdx(PacketHeader*)	_ZN17CPacketTranslater22OnRegisterEventUserIdxEP12PacketHeader	DIFF	0x246	DNFPacketTranslater.cpp
CPacketTranslater::OnRelayServerUserCheck(PacketHeader*)	_ZN17CPacketTranslater22OnRelayServerUserCheckEP12PacketHeader	DIFF	0x254	DNFPacketTranslater.cpp
CPacketTranslater::RequestBlackListToDBMW(unsigned int)	_ZN17CPacketTranslater22RequestBlackListToDBMWEj	DIFF	0x119	DNFPacketTranslater.cpp
CPacketTranslater::OnDBMWDeleteToBlackList(PacketHeader*)	_ZN17CPacketTranslater23OnDBMWDeleteToBlackListEP12PacketHeader	DIFF	0x269	DNFPacketTranslater.cpp
CPacketTranslater::OnFindCharacName_useUID(PacketHeader*)	_ZN17CPacketTranslater23OnFindCharacName_useUIDEP12PacketHeader	DIFF	0x112	DNFPacketTranslater.cpp
CPacketTranslater::OnQueryBuddyInfoDBReply(PacketHeader*)	_ZN17CPacketTranslater23OnQueryBuddyInfoDBReplyEP12PacketHeader	DIFF	0x258	DNFPacketTranslater.cpp
CPacketTranslater::OnResponseIPCounterList(PacketHeader*)	_ZN17CPacketTranslater23OnResponseIPCounterListEP12PacketHeader	DIFF	0x274	DNFPacketTranslater.cpp
CPacketTranslater::OnWebChangeUserHandicap(PacketHeader*)	_ZN17CPacketTranslater23OnWebChangeUserHandicapEP12PacketHeader	DIFF	0xca	DNFPacketTranslater.cpp
CPacketTranslater::OnNoticeCharLiveOnTenMin(PacketHeader*)	_ZN17CPacketTranslater24OnNoticeCharLiveOnTenMinEP12PacketHeader	DIFF	0x3de	DNFPacketTranslater.cpp
